country,score,continent,confederation
Guyana,988,North America,CONCACAF
St. Vincent / Grenadines,986,North America,CONCACAF
Bermuda,983,North America,CONCACAF
Belize,974,North America,CONCACAF
St. Lucia,953,North America,CONCACAF
Puerto Rico,942,North America,CONCACAF
Cuba,936,North America,CONCACAF
Montserrat,921,North America,CONCACAF
Dominica,919,North America,CONCACAF
Cayman Islands,897,North America,CONCACAF
Bahamas,880,North America,CONCACAF
Aruba,867,North America,CONCACAF
Turks and Caicos Islands,862,North America,CONCACAF
US Virgin Islands,844,North America,CONCACAF
British Virgin Islands,842,North America,CONCACAF
Anguilla,821,North America,CONCACAF
New Zealand,1149,Oceania,OFC
Solomon Islands,1073,Oceania,OFC
New Caledonia,1035,Oceania,OFC
Tahiti,1014,Oceania,OFC
Fiji,996,Oceania,OFC
Vanuatu,996,Oceania,OFC
Papua New Guinea,991,Oceania,OFC
American Samoa,900,Oceania,OFC
Samoa,894,Oceania,OFC
Tonga,862,Oceania,OFC
