"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Costa Rica",5,4,3,3,4,-1,2
"Costa Rica",5,4,3,3,4,-1,3
"New Zealand",5,5,9,6,1,5,1
"Denmark",5,5,4,2,2,0,2
"Korea Republic",5,6,6,9,4,5,1
"Haiti",5,6,6,5,5,0,2
"Argentina",5,6,3,3,4,-1,3
"South Africa",5,7,9,6,2,4,1
"Poland",5,7,6,8,6,2,2
"Jamaica",5,7,3,7,6,1,3
"Panama",5,8,9,7,2,5,1
"Chile",5,8,4,2,4,-2,2
"Paraguay",5,9,9,6,1,5,1
"France",5,9,6,4,3,1,2
"Colombia",5,10,6,4,3,1,1
"Scotland",5,10,6,4,3,1,2
"Spain",5,10,3,2,3,-1,3
"Morocco",5,11,6,5,5,0,1
"Saudi Arabia",5,11,4,5,5,0,2
"Austria",5,11,4,3,4,-1,3
"Germany",5,12,9,9,2,7,1
"Algeria",5,12,4,5,4,1,2
"Italy",5,12,4,3,4,-1,3
"South Africa",6,1,7,10,3,7,1
"United States",6,1,5,9,6,3,2
"Tunisia",6,2,7,4,2,2,1
"Australia",6,2,4,4,4,0,2
"Mexico",6,2,3,5,6,-1,3
"Colombia",6,3,6,5,4,1,1
"Canada",6,3,4,3,3,0,2
"Japan",6,3,4,3,3,0,3
"Scotland",6,4,9,4,0,4,1
"Haiti",6,4,4,1,1,0,2
"Haiti",6,4,4,1,1,0,3
"Argentina",6,5,6,6,5,1,1
"Germany",6,5,4,4,3,1,2
"Costa Rica",6,5,4,2,2,0,3
"Jamaica",6,6,7,7,3,4,1
"Qatar",6,6,6,4,2,2,2
"Senegal",6,6,4,4,4,0,3
"Norway",6,7,6,6,4,2,1
"Austria",6,7,6,5,3,2,2
"Ghana",6,7,3,2,3,-1,3
"Saudi Arabia",6,8,9,6,2,4,1
"Egypt",6,8,4,4,3,1,2
"Cameroon",6,9,9,7,1,6,1
"Korea Republic",6,9,4,2,4,-2,2
"Chile",6,10,6,5,4,1,1
"Jordan",6,10,5,4,2,2,2
"Belgium",6,10,4,3,3,0,3
"Paraguay",6,11,7,3,1,2,1
"Panama",6,11,5,4,3,1,2
"Uzbekistan",6,12,6,4,3,1,1
"Poland",6,12,4,4,4,0,2
"Portugal",6,12,4,2,2,0,3
"United States",7,1,7,4,1,3,1
"Scotland",7,1,4,4,3,1,2
"Jordan",7,1,3,2,2,0,3
"Iran",7,2,5,2,0,2,1
"Ecuador",7,2,5,3,2,1,2
"Canada",7,3,7,5,3,2,1
"Croatia",7,3,6,6,5,1,2
"Ghana",7,3,2,3,4,-1,3
"Jamaica",7,4,9,7,0,7,1
"Tunisia",7,4,4,4,3,1,2
"Switzerland",7,5,7,7,4,3,1
"Nigeria",7,5,6,6,5,1,2
"Panama",7,5,2,3,4,-1,3
"Colombia",7,6,7,6,2,4,1
"Morocco",7,6,4,4,2,2,2
"Haiti",7,6,3,2,2,0,3
"Australia",7,7,7,6,3,3,1
"Cameroon",7,7,7,6,4,2,2
"South Africa",7,8,6,7,2,5,1
"Norway",7,8,6,5,3,2,2
"Chile",7,8,3,2,4,-2,3
"New Zealand",7,9,9,6,3,3,1
"Wales",7,9,6,6,3,3,2
"Austria",7,10,9,4,1,3,1
"Paraguay",7,10,3,9,7,2,2
"Qatar",7,10,3,5,7,-2,3
"Egypt",7,11,7,10,2,8,1
"Denmark",7,11,4,4,6,-2,2
"Spain",7,11,4,3,5,-2,3
"Uzbekistan",7,12,7,10,4,6,1
"Algeria",7,12,4,3,5,-2,2
"Germany",7,12,3,5,5,0,3
"United States",8,1,5,6,2,4,1
"Morocco",8,1,5,4,2,2,2
"Norway",8,2,5,2,1,1,1
"Saudi Arabia",8,2,3,2,2,0,2
"Mexico",8,2,3,1,1,0,3
"Canada",8,3,7,7,3,4,1
"Uzbekistan",8,3,5,6,3,3,2
"Iran",8,4,7,7,3,4,1
"Senegal",8,4,6,7,4,3,2
"Ecuador",8,4,4,4,5,-1,3
"Chile",8,5,7,5,1,4,1
"Egypt",8,5,4,3,3,0,2
"France",8,5,4,4,6,-2,3
"Japan",8,6,7,6,4,2,1
"Cameroon",8,6,6,2,1,1,2
"Netherlands",8,6,3,5,5,0,3
