"team","opp_team","stage_num","group","year","simulation","diff_elo","avg_goals_scored","avg_opp_goals_taken","team_has_home_advt"
"Belgium","Algeria",1,11,2026,1,360,1.79850746268657,1.04666666666667,0
"Germany","Algeria",1,11,2026,1,205,2.24226804123711,1.04666666666667,0
"Spain","Algeria",1,9,2026,2,299,2.00704225352113,1.04666666666667,0
"New Zealand","Algeria",1,11,2026,1,-265,1.72773536895674,1.04666666666667,0
"Germany","Algeria",1,9,2026,2,205,2.24226804123711,1.04666666666667,0
"Jordan","Algeria",1,9,2026,2,-262,1.18736842105263,1.04666666666667,0
"Jamaica","Argentina",1,4,2026,1,-407,1.33805031446541,1.0562015503876,1
"Ghana","Argentina",1,11,2026,2,-385,1.62697274031564,1.0562015503876,0
"Wales","Argentina",1,11,2026,2,-162,1.24590163934426,1.0562015503876,0
"Australia","Argentina",1,11,2026,2,-279,2.04982206405694,1.0562015503876,0
"Tunisia","Argentina",1,4,2026,1,-373,1.41592920353982,1.0562015503876,0
"Qatar","Argentina",1,4,2026,1,-352,1.43193277310924,1.0562015503876,0
"Wales","Australia",1,11,2026,2,117,1.24590163934426,1.12455516014235,0
"Ghana","Australia",1,11,2026,2,-106,1.62697274031564,1.12455516014235,0
"Argentina","Australia",1,11,2026,2,279,1.87984496124031,1.12455516014235,0
"England","Australia",1,12,2026,1,250,2.34018691588785,1.12455516014235,0
"Senegal","Australia",1,12,2026,1,46,1.32565789473684,1.12455516014235,0
"Haiti","Australia",1,12,2026,1,-155,1.62721893491124,1.12455516014235,1
"Uzbekistan","Austria",1,2,2026,1,-236,1.7248322147651,1.56265664160401,0
"Mexico","Austria",1,2,2026,1,145,1.81209503239741,1.56265664160401,1
"Egypt","Austria",1,2,2026,1,-181,1.7599486521181,1.56265664160401,0
"New Zealand","Austria",1,1,2026,2,-300,1.72773536895674,1.56265664160401,0
"Egypt","Austria",1,1,2026,2,-181,1.7599486521181,1.56265664160401,0
"United States","Austria",1,1,2026,2,-40,1.46428571428571,1.56265664160401,1
"Algeria","Belgium",1,11,2026,1,-360,1.44833333333333,1.60572139303483,0
"Germany","Belgium",1,11,2026,1,-155,2.24226804123711,1.60572139303483,0
"Scotland","Belgium",1,5,2026,2,-451,1.72257250945776,1.60572139303483,0
"New Zealand","Belgium",1,11,2026,1,-625,1.72773536895674,1.60572139303483,0
"Saudi Arabia","Belgium",1,5,2026,2,-557,1.59034482758621,1.60572139303483,0
"Tunisia","Belgium",1,5,2026,2,-493,1.41592920353982,1.60572139303483,0
"Switzerland","Brazil",1,7,2026,1,-265,1.46446078431373,0.902195608782435,0
"Iran","Brazil",1,7,2026,1,-373,1.87234042553191,0.902195608782435,0
"Morocco","Brazil",1,4,2026,2,-453,1.44757433489828,0.902195608782435,0
"Panama","Brazil",1,7,2026,1,-601,1.17716535433071,0.902195608782435,1
"Croatia","Brazil",1,4,2026,2,-276,1.74320241691843,0.902195608782435,0
"Haiti","Brazil",1,4,2026,2,-579,1.62721893491124,0.902195608782435,1
"France","Cameroon",1,10,2026,1,485,1.77893518518519,1.10304054054054,0
"Colombia","Cameroon",1,10,2026,1,289,1.26288659793814,1.10304054054054,0
"Japan","Cameroon",1,10,2026,1,137,1.73592493297587,1.10304054054054,0
"Denmark","Cameroon",1,8,2026,2,320,1.82994011976048,1.10304054054054,0
"Paraguay","Cameroon",1,8,2026,2,162,1.30547945205479,1.10304054054054,0
"France","Cameroon",1,8,2026,2,485,1.77893518518519,1.10304054054054,0
"Korea Republic","Canada",1,3,2026,1,172,1.80635245901639,1.33004926108374,-1
"South Africa","Canada",1,3,2026,2,-83,1.3675799086758,1.33004926108374,-1
"Switzerland","Canada",1,3,2026,2,271,1.46446078431373,1.33004926108374,-1
"Netherlands","Canada",1,3,2026,1,395,2.06024096385542,1.33004926108374,-1
"Japan","Canada",1,3,2026,2,144,1.73592493297587,1.33004926108374,-1
"South Africa","Canada",1,3,2026,1,-83,1.3675799086758,1.33004926108374,-1
"Uzbekistan","Chile",1,2,2026,2,-263,1.7248322147651,1.44035532994924,0
"Spain","Chile",1,8,2026,1,237,2.00704225352113,1.44035532994924,0
"Nigeria","Chile",1,2,2026,2,-143,1.49295774647887,1.44035532994924,0
"Scotland","Chile",1,8,2026,1,-153,1.72257250945776,1.44035532994924,0
"Mexico","Chile",1,2,2026,2,118,1.81209503239741,1.44035532994924,1
"Jordan","Chile",1,8,2026,1,-324,1.18736842105263,1.44035532994924,0
"Portugal","Colombia",1,7,2026,2,143,1.69009584664537,1.18900343642612,0
"Korea Republic","Colombia",1,7,2026,2,-124,1.80635245901639,1.18900343642612,0
"Cameroon","Colombia",1,10,2026,1,-289,1.45101351351351,1.18900343642612,0
"France","Colombia",1,10,2026,1,196,1.77893518518519,1.18900343642612,0
"Costa Rica","Colombia",1,7,2026,2,-273,1.76412429378531,1.18900343642612,1
"Japan","Colombia",1,10,2026,1,-152,1.73592493297587,1.18900343642612,0
