"team","opp_team","stage_num","group","year","simulation","diff_elo","avg_goals_scored","avg_opp_goals_taken","team_has_home_advt"
"Portugal","Costa Rica",1,5,2026,1,416,1.69009584664537,1.14971751412429,-1
"Norway","Costa Rica",1,5,2026,1,140,1.5,1.14971751412429,-1
"Portugal","Costa Rica",1,7,2026,2,416,1.69009584664537,1.14971751412429,-1
"Colombia","Costa Rica",1,7,2026,2,273,1.26288659793814,1.14971751412429,-1
"Croatia","Costa Rica",1,5,2026,1,237,1.74320241691843,1.14971751412429,-1
"Korea Republic","Costa Rica",1,7,2026,2,149,1.80635245901639,1.14971751412429,-1
"Costa Rica","Croatia",1,5,2026,1,-237,1.76412429378531,1.02416918429003,1
"Norway","Croatia",1,5,2026,1,-97,1.5,1.02416918429003,0
"Brazil","Croatia",1,4,2026,2,276,2.17165668662675,1.02416918429003,0
"Haiti","Croatia",1,4,2026,2,-303,1.62721893491124,1.02416918429003,1
"Portugal","Croatia",1,5,2026,1,179,1.69009584664537,1.02416918429003,0
"Morocco","Croatia",1,4,2026,2,-177,1.44757433489828,1.02416918429003,0
"United States","Denmark",1,1,2026,1,-181,1.46428571428571,1.37724550898204,1
"Nigeria","Denmark",1,1,2026,1,-257,1.49295774647887,1.37724550898204,0
"France","Denmark",1,8,2026,2,165,1.77893518518519,1.37724550898204,0
"Cameroon","Denmark",1,8,2026,2,-320,1.45101351351351,1.37724550898204,0
"Ecuador","Denmark",1,1,2026,1,-101,1.22452830188679,1.37724550898204,0
"Paraguay","Denmark",1,8,2026,2,-158,1.30547945205479,1.37724550898204,0
"Jamaica","Ecuador",1,10,2026,2,-242,1.33805031446541,1.60566037735849,1
"Denmark","Ecuador",1,1,2026,1,101,1.82994011976048,1.60566037735849,0
"Netherlands","Ecuador",1,10,2026,2,169,2.06024096385542,1.60566037735849,0
"United States","Ecuador",1,1,2026,1,-80,1.46428571428571,1.60566037735849,1
"England","Ecuador",1,10,2026,2,136,2.34018691588785,1.60566037735849,0
"Nigeria","Ecuador",1,1,2026,1,-156,1.49295774647887,1.60566037735849,0
"United States","Egypt",1,1,2026,2,141,1.46428571428571,1.06803594351733,1
"New Zealand","Egypt",1,1,2026,2,-119,1.72773536895674,1.06803594351733,0
"Austria","Egypt",1,1,2026,2,181,1.79197994987469,1.06803594351733,0
"Austria","Egypt",1,2,2026,1,181,1.79197994987469,1.06803594351733,0
"Uzbekistan","Egypt",1,2,2026,1,-55,1.7248322147651,1.06803594351733,0
"Mexico","Egypt",1,2,2026,1,326,1.81209503239741,1.06803594351733,1
"Netherlands","England",1,10,2026,2,33,2.06024096385542,0.980373831775701,0
"Jamaica","England",1,10,2026,2,-378,1.33805031446541,0.980373831775701,1
"Ecuador","England",1,10,2026,2,-136,1.22452830188679,0.980373831775701,0
"Senegal","England",1,12,2026,1,-204,1.32565789473684,0.980373831775701,0
"Haiti","England",1,12,2026,1,-405,1.62721893491124,0.980373831775701,1
"Australia","England",1,12,2026,1,-250,2.04982206405694,0.980373831775701,0
"Japan","France",1,10,2026,1,-348,1.73592493297587,1.40740740740741,0
"Denmark","France",1,8,2026,2,-165,1.82994011976048,1.40740740740741,0
"Cameroon","France",1,8,2026,2,-485,1.45101351351351,1.40740740740741,0
"Colombia","France",1,10,2026,1,-196,1.26288659793814,1.40740740740741,0
"Cameroon","France",1,10,2026,1,-485,1.45101351351351,1.40740740740741,0
"Paraguay","France",1,8,2026,2,-323,1.30547945205479,1.40740740740741,0
"Algeria","Germany",1,11,2026,1,-205,1.44833333333333,1.18041237113402,0
"Belgium","Germany",1,11,2026,1,155,1.79850746268657,1.18041237113402,0
"New Zealand","Germany",1,11,2026,1,-470,1.72773536895674,1.18041237113402,0
"Jordan","Germany",1,9,2026,2,-467,1.18736842105263,1.18041237113402,0
"Algeria","Germany",1,9,2026,2,-205,1.44833333333333,1.18041237113402,0
"Spain","Germany",1,9,2026,2,94,2.00704225352113,1.18041237113402,0
"Argentina","Ghana",1,11,2026,2,385,1.87984496124031,1.02725968436155,0
"Italy","Ghana",1,9,2026,1,392,1.74007220216607,1.02725968436155,0
"Australia","Ghana",1,11,2026,2,106,2.04982206405694,1.02725968436155,0
"Wales","Ghana",1,9,2026,1,223,1.24590163934426,1.02725968436155,0
"Wales","Ghana",1,11,2026,2,223,1.24590163934426,1.02725968436155,0
"Paraguay","Ghana",1,9,2026,1,163,1.30547945205479,1.02725968436155,0
"Australia","Haiti",1,12,2026,1,155,2.04982206405694,1.36686390532544,-1
"Senegal","Haiti",1,12,2026,1,201,1.32565789473684,1.36686390532544,-1
"Morocco","Haiti",1,4,2026,2,126,1.44757433489828,1.36686390532544,-1
"Brazil","Haiti",1,4,2026,2,579,2.17165668662675,1.36686390532544,-1
"England","Haiti",1,12,2026,1,405,2.34018691588785,1.36686390532544,-1
"Croatia","Haiti",1,4,2026,2,303,1.74320241691843,1.36686390532544,-1
"Brazil","Iran",1,7,2026,1,373,2.17165668662675,0.785597381342062,0
"Switzerland","Iran",1,7,2026,1,108,1.46446078431373,0.785597381342062,0
"Uruguay","Iran",1,6,2026,2,191,1.5968253968254,0.785597381342062,0
"Panama","Iran",1,6,2026,2,-228,1.17716535433071,0.785597381342062,1
"Panama","Iran",1,7,2026,1,-228,1.17716535433071,0.785597381342062,1
"Poland","Iran",1,6,2026,2,50,1.70023419203747,0.785597381342062,0
"Senegal","Italy",1,12,2026,2,-240,1.32565789473684,0.98676293622142,0
"Paraguay","Italy",1,9,2026,1,-229,1.30547945205479,0.98676293622142,0
"Qatar","Italy",1,12,2026,2,-359,1.43193277310924,0.98676293622142,0
"Wales","Italy",1,9,2026,1,-169,1.24590163934426,0.98676293622142,0
"Ghana","Italy",1,9,2026,1,-392,1.62697274031564,0.98676293622142,0
"Norway","Italy",1,12,2026,2,-235,1.5,0.98676293622142,0
"Tunisia","Jamaica",1,4,2026,1,34,1.41592920353982,1.32075471698113,-1
"Argentina","Jamaica",1,4,2026,1,407,1.87984496124031,1.32075471698113,-1
"Netherlands","Jamaica",1,10,2026,2,411,2.06024096385542,1.32075471698113,-1
"Qatar","Jamaica",1,4,2026,1,55,1.43193277310924,1.32075471698113,-1
"Ecuador","Jamaica",1,10,2026,2,242,1.22452830188679,1.32075471698113,-1
"England","Jamaica",1,10,2026,2,378,2.34018691588785,1.32075471698113,-1
"Cameroon","Japan",1,10,2026,1,-137,1.45101351351351,1.19302949061662,0
"Canada","Japan",1,3,2026,2,-144,1.1871921182266,1.19302949061662,1
"South Africa","Japan",1,3,2026,2,-227,1.3675799086758,1.19302949061662,0
"Colombia","Japan",1,10,2026,1,152,1.26288659793814,1.19302949061662,0
"Switzerland","Japan",1,3,2026,2,127,1.46446078431373,1.19302949061662,0
"France","Japan",1,10,2026,1,348,1.77893518518519,1.19302949061662,0
"Spain","Jordan",1,9,2026,2,561,2.00704225352113,1.20631578947368,0
"Chile","Jordan",1,8,2026,1,324,1.43020304568528,1.20631578947368,0
"Algeria","Jordan",1,9,2026,2,262,1.44833333333333,1.20631578947368,0
"Scotland","Jordan",1,8,2026,1,171,1.72257250945776,1.20631578947368,0
"Germany","Jordan",1,9,2026,2,467,2.24226804123711,1.20631578947368,0
"Spain","Jordan",1,8,2026,1,561,2.00704225352113,1.20631578947368,0
"Netherlands","Korea Republic",1,3,2026,1,223,2.06024096385542,0.913934426229508,0
"Canada","Korea Republic",1,3,2026,1,-172,1.1871921182266,0.913934426229508,1
"Costa Rica","Korea Republic",1,7,2026,2,-149,1.76412429378531,0.913934426229508,1
"Portugal","Korea Republic",1,7,2026,2,267,1.69009584664537,0.913934426229508,0
"Colombia","Korea Republic",1,7,2026,2,124,1.26288659793814,0.913934426229508,0
"South Africa","Korea Republic",1,3,2026,1,-255,1.3675799086758,0.913934426229508,0
"Austria","Mexico",1,2,2026,1,-145,1.79197994987469,1.04427645788337,-1
"Uzbekistan","Mexico",1,2,2026,2,-381,1.7248322147651,1.04427645788337,-1
"Chile","Mexico",1,2,2026,2,-118,1.43020304568528,1.04427645788337,-1
"Egypt","Mexico",1,2,2026,1,-326,1.7599486521181,1.04427645788337,-1
"Uzbekistan","Mexico",1,2,2026,1,-381,1.7248322147651,1.04427645788337,-1
"Nigeria","Mexico",1,2,2026,2,-261,1.49295774647887,1.04427645788337,-1
"Poland","Morocco",1,6,2026,1,130,1.70023419203747,0.873239436619718,0
"Saudi Arabia","Morocco",1,6,2026,1,-129,1.59034482758621,0.873239436619718,0
"Uruguay","Morocco",1,6,2026,1,271,1.5968253968254,0.873239436619718,0
"Haiti","Morocco",1,4,2026,2,-126,1.62721893491124,0.873239436619718,1
"Croatia","Morocco",1,4,2026,2,177,1.74320241691843,0.873239436619718,0
"Brazil","Morocco",1,4,2026,2,453,2.17165668662675,0.873239436619718,0
"Canada","Netherlands",1,3,2026,1,-395,1.1871921182266,1.28674698795181,1
"South Africa","Netherlands",1,3,2026,1,-478,1.3675799086758,1.28674698795181,0
"Ecuador","Netherlands",1,10,2026,2,-169,1.22452830188679,1.28674698795181,0
"Jamaica","Netherlands",1,10,2026,2,-411,1.33805031446541,1.28674698795181,1
"England","Netherlands",1,10,2026,2,-33,2.34018691588785,1.28674698795181,0
"Korea Republic","Netherlands",1,3,2026,1,-223,1.80635245901639,1.28674698795181,0
"United States","New Zealand",1,1,2026,2,260,1.46428571428571,1.53435114503817,1
"Egypt","New Zealand",1,1,2026,2,119,1.7599486521181,1.53435114503817,0
"Belgium","New Zealand",1,11,2026,1,625,1.79850746268657,1.53435114503817,0
"Germany","New Zealand",1,11,2026,1,470,2.24226804123711,1.53435114503817,0
"Austria","New Zealand",1,1,2026,2,300,1.79197994987469,1.53435114503817,0
"Algeria","New Zealand",1,11,2026,1,265,1.44833333333333,1.53435114503817,0
"Ecuador","Nigeria",1,1,2026,1,156,1.22452830188679,1.02660406885759,0
"Uzbekistan","Nigeria",1,2,2026,2,-120,1.7248322147651,1.02660406885759,0
"Denmark","Nigeria",1,1,2026,1,257,1.82994011976048,1.02660406885759,0
"Chile","Nigeria",1,2,2026,2,143,1.43020304568528,1.02660406885759,0
"United States","Nigeria",1,1,2026,1,76,1.46428571428571,1.02660406885759,1
"Mexico","Nigeria",1,2,2026,2,261,1.81209503239741,1.02660406885759,1
"Italy","Norway",1,12,2026,2,235,1.74007220216607,1.67028985507246,0
"Costa Rica","Norway",1,5,2026,1,-140,1.76412429378531,1.67028985507246,1
"Portugal","Norway",1,5,2026,1,276,1.69009584664537,1.67028985507246,0
"Croatia","Norway",1,5,2026,1,97,1.74320241691843,1.67028985507246,0
"Qatar","Norway",1,12,2026,2,-124,1.43193277310924,1.67028985507246,0
"Senegal","Norway",1,12,2026,2,-5,1.32565789473684,1.67028985507246,0
"Uruguay","Panama",1,6,2026,2,419,1.5968253968254,1.58070866141732,-1
"Brazil","Panama",1,7,2026,1,601,2.17165668662675,1.58070866141732,-1
"Iran","Panama",1,7,2026,1,228,1.87234042553191,1.58070866141732,-1
"Iran","Panama",1,6,2026,2,228,1.87234042553191,1.58070866141732,-1
"Switzerland","Panama",1,7,2026,1,336,1.46446078431373,1.58070866141732,-1
"Poland","Panama",1,6,2026,2,278,1.70023419203747,1.58070866141732,-1
"Italy","Paraguay",1,9,2026,1,229,1.74007220216607,1.43287671232877,0
"Cameroon","Paraguay",1,8,2026,2,-162,1.45101351351351,1.43287671232877,0
"Denmark","Paraguay",1,8,2026,2,158,1.82994011976048,1.43287671232877,0
"Wales","Paraguay",1,9,2026,1,60,1.24590163934426,1.43287671232877,0
"Ghana","Paraguay",1,9,2026,1,-163,1.62697274031564,1.43287671232877,0
"France","Paraguay",1,8,2026,2,323,1.77893518518519,1.43287671232877,0
"Panama","Poland",1,6,2026,2,-278,1.17716535433071,1.34777517564403,1
"Uruguay","Poland",1,6,2026,1,141,1.5968253968254,1.34777517564403,0
"Saudi Arabia","Poland",1,6,2026,1,-259,1.59034482758621,1.34777517564403,0
"Uruguay","Poland",1,6,2026,2,141,1.5968253968254,1.34777517564403,0
"Morocco","Poland",1,6,2026,1,-130,1.44757433489828,1.34777517564403,0
"Iran","Poland",1,6,2026,2,-50,1.87234042553191,1.34777517564403,0
"Norway","Portugal",1,5,2026,1,-276,1.5,1.15654952076677,0
"Korea Republic","Portugal",1,7,2026,2,-267,1.80635245901639,1.15654952076677,0
"Costa Rica","Portugal",1,7,2026,2,-416,1.76412429378531,1.15654952076677,1
"Colombia","Portugal",1,7,2026,2,-143,1.26288659793814,1.15654952076677,0
"Croatia","Portugal",1,5,2026,1,-179,1.74320241691843,1.15654952076677,0
"Costa Rica","Portugal",1,5,2026,1,-416,1.76412429378531,1.15654952076677,1
"Argentina","Qatar",1,4,2026,1,352,1.87984496124031,1.1546218487395,0
"Senegal","Qatar",1,12,2026,2,119,1.32565789473684,1.1546218487395,0
"Jamaica","Qatar",1,4,2026,1,-55,1.33805031446541,1.1546218487395,1
"Tunisia","Qatar",1,4,2026,1,-21,1.41592920353982,1.1546218487395,0
"Italy","Qatar",1,12,2026,2,359,1.74007220216607,1.1546218487395,0
"Norway","Qatar",1,12,2026,2,124,1.5,1.1546218487395,0
"Morocco","Saudi Arabia",1,6,2026,1,129,1.44757433489828,1.08551724137931,0
"Tunisia","Saudi Arabia",1,5,2026,2,64,1.41592920353982,1.08551724137931,0
"Uruguay","Saudi Arabia",1,6,2026,1,400,1.5968253968254,1.08551724137931,0
"Belgium","Saudi Arabia",1,5,2026,2,557,1.79850746268657,1.08551724137931,0
"Poland","Saudi Arabia",1,6,2026,1,259,1.70023419203747,1.08551724137931,0
"Scotland","Saudi Arabia",1,5,2026,2,106,1.72257250945776,1.08551724137931,0
"Spain","Scotland",1,8,2026,1,390,2.00704225352113,1.22824716267339,0
"Chile","Scotland",1,8,2026,1,153,1.43020304568528,1.22824716267339,0
"Tunisia","Scotland",1,5,2026,2,-42,1.41592920353982,1.22824716267339,0
"Jordan","Scotland",1,8,2026,1,-171,1.18736842105263,1.22824716267339,0
"Saudi Arabia","Scotland",1,5,2026,2,-106,1.59034482758621,1.22824716267339,0
"Belgium","Scotland",1,5,2026,2,451,1.79850746268657,1.22824716267339,0
"Haiti","Senegal",1,12,2026,1,-201,1.62721893491124,0.976973684210526,1
"Norway","Senegal",1,12,2026,2,5,1.5,0.976973684210526,0
"Italy","Senegal",1,12,2026,2,240,1.74007220216607,0.976973684210526,0
"England","Senegal",1,12,2026,1,204,2.34018691588785,0.976973684210526,0
"Qatar","Senegal",1,12,2026,2,-119,1.43193277310924,0.976973684210526,0
"Australia","Senegal",1,12,2026,1,-46,2.04982206405694,0.976973684210526,0
"Japan","South Africa",1,3,2026,2,227,1.73592493297587,1.0662100456621,0
"Switzerland","South Africa",1,3,2026,2,354,1.46446078431373,1.0662100456621,0
"Canada","South Africa",1,3,2026,1,83,1.1871921182266,1.0662100456621,1
"Netherlands","South Africa",1,3,2026,1,478,2.06024096385542,1.0662100456621,0
"Canada","South Africa",1,3,2026,2,83,1.1871921182266,1.0662100456621,1
"Korea Republic","South Africa",1,3,2026,1,255,1.80635245901639,1.0662100456621,0
"Jordan","Spain",1,9,2026,2,-561,1.18736842105263,0.902816901408451,0
"Algeria","Spain",1,9,2026,2,-299,1.44833333333333,0.902816901408451,0
"Jordan","Spain",1,8,2026,1,-561,1.18736842105263,0.902816901408451,0
"Scotland","Spain",1,8,2026,1,-390,1.72257250945776,0.902816901408451,0
"Germany","Spain",1,9,2026,2,-94,2.24226804123711,0.902816901408451,0
"Chile","Spain",1,8,2026,1,-237,1.43020304568528,0.902816901408451,0
"Brazil","Switzerland",1,7,2026,1,265,2.17165668662675,1.6875,0
"Panama","Switzerland",1,7,2026,1,-336,1.17716535433071,1.6875,1
"Japan","Switzerland",1,3,2026,2,-127,1.73592493297587,1.6875,0
"Canada","Switzerland",1,3,2026,2,-271,1.1871921182266,1.6875,1
"South Africa","Switzerland",1,3,2026,2,-354,1.3675799086758,1.6875,0
"Iran","Switzerland",1,7,2026,1,-108,1.87234042553191,1.6875,0
"Argentina","Tunisia",1,4,2026,1,373,1.87984496124031,1.11799410029499,0
"Qatar","Tunisia",1,4,2026,1,21,1.43193277310924,1.11799410029499,0
"Jamaica","Tunisia",1,4,2026,1,-34,1.33805031446541,1.11799410029499,1
"Belgium","Tunisia",1,5,2026,2,493,1.79850746268657,1.11799410029499,0
"Scotland","Tunisia",1,5,2026,2,42,1.72257250945776,1.11799410029499,0
"Saudi Arabia","Tunisia",1,5,2026,2,-64,1.59034482758621,1.11799410029499,0
"Denmark","United States",1,1,2026,1,181,1.82994011976048,1.34340659340659,-1
"Egypt","United States",1,1,2026,2,-141,1.7599486521181,1.34340659340659,-1
"Austria","United States",1,1,2026,2,40,1.79197994987469,1.34340659340659,-1
"New Zealand","United States",1,1,2026,2,-260,1.72773536895674,1.34340659340659,-1
"Nigeria","United States",1,1,2026,1,-76,1.49295774647887,1.34340659340659,-1
"Ecuador","United States",1,1,2026,1,80,1.22452830188679,1.34340659340659,-1
"Poland","Uruguay",1,6,2026,1,-141,1.70023419203747,1.24973544973545,0
"Saudi Arabia","Uruguay",1,6,2026,1,-400,1.59034482758621,1.24973544973545,0
"Panama","Uruguay",1,6,2026,2,-419,1.17716535433071,1.24973544973545,1
"Morocco","Uruguay",1,6,2026,1,-271,1.44757433489828,1.24973544973545,0
"Iran","Uruguay",1,6,2026,2,-191,1.87234042553191,1.24973544973545,0
"Poland","Uruguay",1,6,2026,2,-141,1.70023419203747,1.24973544973545,0
"Mexico","Uzbekistan",1,2,2026,1,381,1.81209503239741,1.16778523489933,1
"Chile","Uzbekistan",1,2,2026,2,263,1.43020304568528,1.16778523489933,0
"Austria","Uzbekistan",1,2,2026,1,236,1.79197994987469,1.16778523489933,0
"Egypt","Uzbekistan",1,2,2026,1,55,1.7599486521181,1.16778523489933,0
"Nigeria","Uzbekistan",1,2,2026,2,120,1.49295774647887,1.16778523489933,0
"Mexico","Uzbekistan",1,2,2026,2,381,1.81209503239741,1.16778523489933,1
"Ghana","Wales",1,11,2026,2,-223,1.62697274031564,1.63487332339791,0
"Argentina","Wales",1,11,2026,2,162,1.87984496124031,1.63487332339791,0
"Paraguay","Wales",1,9,2026,1,-60,1.30547945205479,1.63487332339791,0
"Australia","Wales",1,11,2026,2,-117,2.04982206405694,1.63487332339791,0
"Ghana","Wales",1,9,2026,1,-223,1.62697274031564,1.63487332339791,0
"Italy","Wales",1,9,2026,1,169,1.74007220216607,1.63487332339791,0
