"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Canada",3,1,"Brazil",11,2,5,72
"Ghana",11,1,"Germany",9,3,6,72
"Korea Republic",4,2,"South Africa",4,1,7,72
"New Zealand",6,2,"Costa Rica",9,1,8,72
"Mexico",2,1,"New Zealand",1,2,1,73
"Australia",9,3,"Cameroon",12,1,2,73
"England",12,2,"Nigeria",11,2,3,73
"Jamaica",10,1,"Haiti",4,3,4,73
"Japan",3,3,"Algeria",8,3,5,73
"Korea Republic",6,2,"Egypt",2,2,6,73
"South Africa",7,1,"Uzbekistan",8,1,7,73
"Colombia",3,2,"Jordan",10,2,8,73
"Scotland",3,1,"Korea Republic",11,3,1,74
"Iran",1,1,"Canada",3,2,2,74
"Portugal",6,2,"Egypt",8,1,3,74
"Jordan",10,2,"New Zealand",9,2,4,74
"Algeria",10,3,"Belgium",7,2,5,74
"Costa Rica",8,2,"Panama",7,1,6,74
"Nigeria",4,1,"Ecuador",1,2,7,74
"Uruguay",4,2,"Ghana",11,2,8,74
"Saudi Arabia",10,1,"Canada",3,1,1,75
"Denmark",7,3,"Jamaica",4,1,2,75
"Jordan",1,3,"Croatia",11,3,3,75
"Chile",10,2,"Cameroon",12,3,4,75
"Costa Rica",6,2,"Ecuador",4,2,5,75
"South Africa",11,2,"Morocco",6,1,6,75
"Tunisia",8,1,"Korea Republic",11,1,7,75
"Haiti",5,1,"Iran",7,1,8,75
"Italy",11,3,"New Zealand",9,1,1,76
"Ghana",11,1,"Colombia",1,2,2,76
"Korea Republic",7,1,"Haiti",4,3,3,76
"Ecuador",10,1,"Wales",4,2,4,76
"Austria",2,1,"Switzerland",7,2,5,76
"Saudi Arabia",2,3,"Egypt",1,1,6,76
"Nigeria",9,2,"England",8,2,7,76
"Algeria",4,1,"Poland",12,1,8,76
"Saudi Arabia",2,1,"Nigeria",6,2,1,77
"Australia",1,1,"Argentina",7,1,2,77
"Morocco",4,2,"Austria",2,2,3,77
"Chile",8,2,"South Africa",11,2,4,77
"Iran",7,2,"Haiti",5,2,5,77
"Egypt",2,3,"Switzerland",10,2,6,77
"Brazil",5,3,"Norway",12,2,7,77
"England",4,3,"Jordan",10,1,8,77
"Egypt",6,2,"Nigeria",11,2,1,78
"Morocco",10,1,"Iran",2,3,2,78
"Qatar",4,1,"Netherlands",10,2,3,78
"Jamaica",7,1,"Portugal",8,3,4,78
"Tunisia",2,2,"Algeria",4,2,5,78
"Costa Rica",5,2,"Germany",1,3,6,78
"Paraguay",3,2,"Ghana",7,2,7,78
"Norway",1,1,"Panama",9,2,8,78
"New Zealand",1,3,"Portugal",12,1,1,79
"Algeria",2,3,"Panama",5,1,2,79
"Spain",10,2,"Cameroon",8,2,3,79
"United States",1,1,"Italy",7,1,4,79
"Denmark",4,2,"Argentina",5,2,5,79
"Chile",10,3,"Australia",7,3,6,79
"Iran",1,2,"Ghana",6,1,7,79
"Costa Rica",9,1,"Qatar",10,1,8,79
"Costa Rica",6,1,"Algeria",11,2,1,80
"Tunisia",4,3,"Qatar",4,2,2,80
"Cameroon",8,1,"Ghana",2,3,3,80
"Chile",5,1,"Haiti",12,2,4,80
"Poland",2,2,"Canada",3,2,5,80
"United States",1,2,"Nigeria",10,3,6,80
"Morocco",9,3,"New Zealand",3,1,7,80
"Saudi Arabia",1,1,"France",11,1,8,80
"Costa Rica",11,3,"England",11,1,1,81
"Algeria",2,1,"Cameroon",6,1,2,81
"Colombia",3,3,"South Africa",9,2,3,81
"Ghana",5,2,"New Zealand",3,2,4,81
"Tunisia",4,2,"Iran",1,3,5,81
"Jamaica",6,2,"Paraguay",10,1,6,81
"Nigeria",3,1,"Australia",9,1,7,81
"Italy",12,1,"Panama",10,2,8,81
"Jordan",11,2,"Cameroon",12,2,1,82
"New Zealand",8,2,"England",8,1,2,82
"Colombia",12,1,"Egypt",7,1,3,82
"Ghana",2,2,"Spain",12,3,4,82
"Uruguay",5,1,"Algeria",9,3,5,82
"Korea Republic",6,3,"Saudi Arabia",4,3,6,82
"Chile",2,3,"Italy",7,2,7,82
"Uzbekistan",9,2,"Qatar",10,2,8,82
"Japan",6,1,"Cameroon",3,1,1,83
"Brazil",8,2,"Argentina",5,3,2,83
"Tunisia",9,1,"Morocco",10,2,3,83
"England",7,2,"Italy",6,2,4,83
"Egypt",1,2,"Netherlands",6,3,5,83
"Canada",3,2,"Jordan",9,2,6,83
"Saudi Arabia",11,1,"Nigeria",11,3,7,83
"Haiti",7,3,"New Zealand",8,1,8,83
"Costa Rica",8,3,"Switzerland",12,3,1,84
"Algeria",10,2,"Mexico",2,3,2,84
"Uzbekistan",5,1,"Ghana",6,1,3,84
"Qatar",10,1,"Tunisia",2,2,4,84
"Morocco",7,2,"Korea Republic",8,1,5,84
"Haiti",4,1,"New Zealand",7,1,6,84
"Cameroon",3,1,"Iran",12,2,7,84
"Colombia",11,1,"South Africa",11,2,8,84
"Mexico",2,3,"Iran",1,1,1,85
"Argentina",9,3,"Jordan",11,1,2,85
"Saudi Arabia",3,1,"Germany",11,3,3,85
"Portugal",10,1,"Ecuador",12,3,4,85
"Italy",7,2,"Uzbekistan",8,3,5,85
"Egypt",7,1,"Chile",3,3,6,85
"Netherlands",6,2,"Paraguay",11,2,7,85
"Cameroon",6,1,"Tunisia",2,1,8,85
"United States",1,1,"Qatar",4,2,1,86
"Ghana",10,1,"Canada",3,1,2,86
"Poland",4,1,"Jordan",8,1,3,86
"Wales",9,1,"Iran",10,2,4,86
"Haiti",6,3,"Scotland",8,3,5,86
"Senegal",8,2,"Costa Rica",7,2,6,86
"Panama",5,2,"Belgium",7,3,7,86
"Austria",7,1,"Australia",11,1,8,86
"New Zealand",12,3,"Jordan",11,1,1,87
"Austria",9,3,"Netherlands",7,3,2,87
"Costa Rica",9,1,"Iran",7,1,3,87
"Scotland",6,3,"Australia",5,1,4,87
"Spain",4,3,"Canada",3,2,5,87
"Algeria",1,3,"Haiti",5,2,6,87
"United States",1,2,"Ecuador",2,2,7,87
"Egypt",4,1,"Portugal",12,1,8,87
"Japan",2,1,"Norway",4,1,1,88
"South Africa",5,3,"Ghana",1,3,2,88
"Italy",9,3,"New Zealand",8,1,3,88
"Haiti",9,1,"Chile",9,2,4,88
"Senegal",10,2,"Cameroon",12,2,5,88
"Argentina",11,3,"Poland",4,3,6,88
"Costa Rica",6,1,"Netherlands",3,2,7,88
"Iran",1,2,"United States",1,1,8,88
"Denmark",5,3,"Iran",8,3,1,89
"Morocco",6,3,"Australia",10,1,2,89
"Belgium",8,2,"Haiti",12,1,3,89
"Cameroon",2,3,"Jordan",9,2,4,89
"Jamaica",4,3,"Jamaica",4,2,5,89
"Egypt",5,2,"Scotland",12,3,6,89
"Netherlands",3,3,"Costa Rica",6,1,7,89
"Austria",6,2,"Norway",2,1,8,89
"Wales",11,1,"Ghana",4,1,1,90
"Jordan",2,2,"Costa Rica",8,2,2,90
"Italy",6,2,"South Africa",3,2,3,90
"Uzbekistan",11,3,"Ecuador",12,1,4,90
"Netherlands",7,3,"France",5,2,5,90
"Denmark",3,1,"Haiti",6,3,6,90
"Morocco",5,3,"Japan",3,3,7,90
"Mexico",2,3,"Cameroon",7,2,8,90
"Wales",9,2,"Ghana",9,1,1,91
"Saudi Arabia",7,1,"Denmark",1,3,2,91
"England",10,2,"Ecuador",3,1,3,91
"Germany",10,1,"Australia",5,2,4,91
"Uzbekistan",4,3,"Canada",3,3,5,91
"Algeria",3,2,"Iran",2,1,6,91
"Chile",8,2,"Tunisia",6,2,7,91
"Mexico",2,3,"Japan",6,1,8,91
"Iran",7,2,"Cameroon",3,1,1,92
"Uzbekistan",4,1,"Panama",8,1,2,92
"Ghana",2,2,"Morocco",10,3,3,92
"Jordan",11,3,"Nigeria",5,2,4,92
"Austria",1,3,"Austria",1,2,5,92
"Qatar",12,3,"Japan",2,3,6,92
"Poland",10,1,"Netherlands",12,1,7,92
"Germany",11,1,"Egypt",11,2,8,92
"Austria",4,3,"Morocco",10,2,1,93
"Algeria",7,2,"Brazil",4,1,2,93
"South Africa",11,1,"Spain",12,3,3,93
"Costa Rica",8,2,"Haiti",6,2,4,93
"Norway",4,2,"Ecuador",1,3,5,93
"Uzbekistan",5,2,"Netherlands",6,1,6,93
"Croatia",9,1,"Ghana",12,1,7,93
"Argentina",7,3,"Iran",2,3,8,93
"Wales",5,1,"Iran",10,1,1,94
"England",11,1,"Scotland",11,2,2,94
"South Africa",10,3,"Poland",8,1,3,94
"Jamaica",4,3,"Australia",1,1,4,94
"Korea Republic",2,1,"Senegal",2,3,5,94
"Chile",9,2,"Colombia",7,3,6,94
"Japan",7,1,"Ghana",12,2,7,94
"Spain",7,2,"Cameroon",8,2,8,94
"Argentina",11,2,"Iran",9,3,1,95
"Belgium",9,2,"Korea Republic",5,2,2,95
"Mexico",2,2,"Ghana",10,3,3,95
"South Africa",9,1,"Wales",4,2,4,95
"United States",1,3,"New Zealand",7,2,5,95
"Algeria",2,3,"Canada",3,1,6,95
"Uzbekistan",2,1,"Germany",7,1,7,95
"Nigeria",8,2,"Norway",3,3,8,95
"Canada",3,1,"Australia",3,2,1,96
"Chile",12,2,"Algeria",7,1,2,96
"Norway",5,1,"Nigeria",9,2,3,96
"Cameroon",10,2,"Jordan",9,1,4,96
"Poland",1,3,"Egypt",1,2,5,96
"Mexico",2,3,"Colombia",2,1,6,96
"Portugal",8,2,"Korea Republic",4,2,7,96
"Italy",11,1,"Jamaica",10,1,8,96
"Paraguay",10,3,"Iran",5,1,1,97
"Jordan",10,1,"Germany",11,1,2,97
"Uzbekistan",1,2,"Spain",11,2,3,97
"France",8,2,"Jamaica",4,2,4,97
"Switzerland",3,2,"Haiti",5,2,5,97
"United States",1,3,"Austria",9,3,6,97
"Algeria",1,1,"Costa Rica",6,3,7,97
"Australia",7,2,"Japan",9,1,8,97
"United States",1,1,"Denmark",1,3,1,98
"Iran",6,2,"Colombia",10,1,2,98
"Ghana",3,1,"Poland",11,3,3,98
"Norway",11,2,"Qatar",8,2,4,98
"Australia",7,3,"Jordan",12,3,5,98
"Portugal",10,3,"Brazil",4,3,6,98
"Panama",4,1,"Switzerland",4,2,7,98
"Costa Rica",5,1,"Egypt",10,2,8,98
"Scotland",9,1,"Paraguay",12,3,1,99
"Canada",3,3,"Switzerland",11,2,2,99
"Poland",9,2,"Jamaica",4,1,3,99
"Germany",6,3,"Austria",4,3,4,99
"Australia",1,3,"Ecuador",6,1,5,99
"Nigeria",5,2,"Senegal",7,2,6,99
"Japan",11,3,"Argentina",7,1,7,99
"Saudi Arabia",2,2,"Tunisia",1,1,8,99
"Algeria",4,1,"Japan",1,1,1,100
"Ghana",12,1,"Tunisia",2,3,2,100
"Australia",2,1,"Egypt",7,1,3,100
"Norway",10,1,"Poland",9,2,4,100
"Portugal",8,1,"Paraguay",8,2,5,100
"France",10,2,"South Africa",1,3,6,100
"South Africa",1,2,"Morocco",11,2,7,100
"Haiti",6,1,"Jamaica",5,1,8,100
