"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Cameroon",7,1,"France",10,1,3,17
"South Africa",1,2,"Egypt",6,2,4,17
"Nigeria",10,2,"Morocco",3,2,5,17
"Algeria",5,1,"Belgium",5,3,6,17
"Qatar",5,2,"Japan",4,2,7,17
"Canada",3,1,"Jamaica",12,3,8,17
"Belgium",12,3,"Korea Republic",1,1,1,18
"Croatia",4,3,"Australia",8,1,2,18
"Iran",10,1,"New Zealand",8,3,3,18
"Switzerland",6,2,"Cameroon",12,2,4,18
"Chile",3,1,"Egypt",9,1,5,18
"Jordan",11,3,"Tunisia",8,2,6,18
"Canada",3,2,"Ghana",10,2,7,18
"Costa Rica",4,2,"Argentina",6,1,8,18
"Morocco",3,1,"Croatia",5,3,1,19
"Germany",4,1,"Panama",5,1,2,19
"Austria",9,1,"Iran",2,1,3,19
"France",7,3,"United States",1,1,4,19
"South Africa",4,2,"Korea Republic",8,1,5,19
"Cameroon",6,1,"Mexico",2,2,6,19
"Colombia",7,2,"Haiti",10,1,7,19
"New Zealand",1,2,"Norway",7,1,8,19
"Netherlands",8,1,"Cameroon",1,1,1,20
"Paraguay",7,1,"Italy",6,3,2,20
"Tunisia",10,3,"Uzbekistan",10,1,3,20
"Mexico",2,1,"France",9,2,4,20
"Scotland",6,2,"Canada",3,1,5,20
"Spain",4,1,"Korea Republic",1,2,6,20
"Austria",4,2,"Qatar",7,2,7,20
"Saudi Arabia",5,2,"New Zealand",2,2,8,20
"Panama",6,3,"Iran",1,1,1,21
"Tunisia",8,3,"Canada",3,1,2,21
"Chile",5,1,"Costa Rica",10,1,3,21
"Jordan",2,1,"Portugal",6,1,4,21
"Morocco",11,3,"Egypt",3,2,5,21
"Cameroon",4,1,"Saudi Arabia",12,2,6,21
"Croatia",11,2,"Netherlands",9,3,7,21
"Australia",6,2,"England",8,2,8,21
"Haiti",6,3,"Japan",7,1,1,22
"Cameroon",11,1,"Argentina",7,3,2,22
"Brazil",10,1,"Austria",4,2,3,22
"Canada",3,2,"Saudi Arabia",8,1,4,22
"South Africa",10,2,"England",9,3,5,22
"Ghana",3,1,"Australia",1,1,6,22
"Korea Republic",3,3,"Poland",6,2,7,22
"Portugal",12,2,"Panama",7,2,8,22
"Tunisia",5,1,"Costa Rica",7,3,1,23
"Denmark",12,3,"Poland",1,1,2,23
"Argentina",7,1,"Algeria",4,3,3,23
"Iran",6,1,"Egypt",7,2,4,23
"Jordan",3,2,"Portugal",8,2,5,23
"New Zealand",8,3,"Qatar",2,2,6,23
"Ghana",10,2,"Netherlands",11,2,7,23
"Cameroon",9,1,"Senegal",6,2,8,23
"Portugal",12,3,"Italy",9,1,1,24
"Paraguay",10,1,"Qatar",10,2,2,24
