"country","score","continent","confederation","pot","group","simulation"
"Korea Republic",1465,"Asia","AFC",3,7,3
"Australia",1457,"Asia","AFC",3,10,3
"Norway",1450,"Europe","UEFA",3,1,3
"Jamaica",1437,"North America","CONCACAF",3,12,3
"Scotland",1436,"Europe","UEFA",3,9,3
"Egypt",1432,"Africa","CAF",3,8,3
"Cameroon",1427,"Africa","CAF",4,12,3
"Costa Rica",1427,"North America","CONCACAF",4,4,3
"Ghana",1424,"Africa","CAF",4,3,3
"Ecuador",1409,"South America","CONMEBOL",4,9,3
"Qatar",1391,"Asia","AFC",4,2,3
"Saudi Arabia",1353,"Asia","AFC",4,11,3
"South Africa",1341,"Africa","CAF",4,7,3
"Panama",1312,"North America","CONCACAF",4,5,3
"Haiti",1285,"North America","CONCACAF",4,10,3
"Uzbekistan",1283,"Asia","AFC",4,1,3
"Jordan",1243,"Asia","AFC",4,8,3
"New Zealand",1149,"Oceania","OFC",4,6,3
"Mexico",1632,"North America","CONCACAF",1,2,4
"United States",1548,"North America","CONCACAF",1,1,4
"Canada",1332,"North America","CONCACAF",1,3,4
"Belgium",1780,"Europe","UEFA",1,8,4
"France",1755,"Europe","UEFA",1,5,4
"Brazil",1743,"South America","CONMEBOL",1,10,4
"England",1670,"Europe","UEFA",1,6,4
"Portugal",1662,"Europe","UEFA",1,12,4
"Spain",1645,"Europe","UEFA",1,9,4
"Argentina",1642,"South America","CONMEBOL",1,7,4
"Uruguay",1639,"South America","CONMEBOL",1,4,4
"Italy",1625,"Europe","UEFA",1,11,4
"Croatia",1617,"Europe","UEFA",2,5,4
"Denmark",1614,"Europe","UEFA",2,11,4
"Germany",1610,"Europe","UEFA",2,2,4
"Netherlands",1609,"Europe","UEFA",2,12,4
"Colombia",1601,"South America","CONMEBOL",2,9,4
"Switzerland",1593,"Europe","UEFA",2,6,4
"Chile",1567,"South America","CONMEBOL",2,8,4
"Wales",1562,"Europe","UEFA",2,4,4
"Poland",1559,"Europe","UEFA",2,1,4
"Senegal",1558,"Africa","CAF",2,7,4
"Austria",1531,"Europe","UEFA",2,3,4
"Tunisia",1503,"Africa","CAF",2,10,4
"Japan",1502,"Asia","AFC",3,8,4
"Iran",1496,"Asia","AFC",3,10,4
"Algeria",1488,"Africa","CAF",3,12,4
"Morocco",1481,"Africa","CAF",3,2,4
"Paraguay",1476,"South America","CONMEBOL",3,3,4
"Nigeria",1474,"Africa","CAF",3,11,4
"Korea Republic",1465,"Asia","AFC",3,1,4
"Australia",1457,"Asia","AFC",3,9,4
"Norway",1450,"Europe","UEFA",3,5,4
"Jamaica",1437,"North America","CONCACAF",3,7,4
"Scotland",1436,"Europe","UEFA",3,6,4
"Egypt",1432,"Africa","CAF",3,4,4
"Cameroon",1427,"Africa","CAF",4,5,4
"Costa Rica",1427,"North America","CONCACAF",4,4,4
"Ghana",1424,"Africa","CAF",4,1,4
"Ecuador",1409,"South America","CONMEBOL",4,11,4
"Qatar",1391,"Asia","AFC",4,3,4
"Saudi Arabia",1353,"Asia","AFC",4,2,4
"South Africa",1341,"Africa","CAF",4,9,4
"Panama",1312,"North America","CONCACAF",4,10,4
"Haiti",1285,"North America","CONCACAF",4,8,4
"Uzbekistan",1283,"Asia","AFC",4,7,4
"Jordan",1243,"Asia","AFC",4,12,4
"New Zealand",1149,"Oceania","OFC",4,6,4
"Mexico",1632,"North America","CONCACAF",1,2,5
"United States",1548,"North America","CONCACAF",1,1,5
"Canada",1332,"North America","CONCACAF",1,3,5
"Belgium",1780,"Europe","UEFA",1,7,5
"France",1755,"Europe","UEFA",1,6,5
"Brazil",1743,"South America","CONMEBOL",1,11,5
"England",1670,"Europe","UEFA",1,5,5
"Portugal",1662,"Europe","UEFA",1,8,5
"Spain",1645,"Europe","UEFA",1,12,5
"Argentina",1642,"South America","CONMEBOL",1,9,5
"Uruguay",1639,"South America","CONMEBOL",1,4,5
"Italy",1625,"Europe","UEFA",1,10,5
"Croatia",1617,"Europe","UEFA",2,3,5
"Denmark",1614,"Europe","UEFA",2,4,5
"Germany",1610,"Europe","UEFA",2,7,5
"Netherlands",1609,"Europe","UEFA",2,11,5
"Colombia",1601,"South America","CONMEBOL",2,6,5
"Switzerland",1593,"Europe","UEFA",2,8,5
"Chile",1567,"South America","CONMEBOL",2,5,5
"Wales",1562,"Europe","UEFA",2,10,5
"Poland",1559,"Europe","UEFA",2,9,5
"Senegal",1558,"Africa","CAF",2,2,5
"Austria",1531,"Europe","UEFA",2,1,5
"Tunisia",1503,"Africa","CAF",2,12,5
"Japan",1502,"Asia","AFC",3,2,5
"Iran",1496,"Asia","AFC",3,11,5
"Algeria",1488,"Africa","CAF",3,1,5
"Morocco",1481,"Africa","CAF",3,5,5
"Paraguay",1476,"South America","CONMEBOL",3,10,5
"Nigeria",1474,"Africa","CAF",3,3,5
"Korea Republic",1465,"Asia","AFC",3,7,5
"Australia",1457,"Asia","AFC",3,9,5
"Norway",1450,"Europe","UEFA",3,12,5
"Jamaica",1437,"North America","CONCACAF",3,6,5
"Scotland",1436,"Europe","UEFA",3,4,5
"Egypt",1432,"Africa","CAF",3,8,5
"Cameroon",1427,"Africa","CAF",4,11,5
"Costa Rica",1427,"North America","CONCACAF",4,5,5
"Ghana",1424,"Africa","CAF",4,7,5
"Ecuador",1409,"South America","CONMEBOL",4,2,5
"Qatar",1391,"Asia","AFC",4,10,5
"Saudi Arabia",1353,"Asia","AFC",4,8,5
"South Africa",1341,"Africa","CAF",4,6,5
"Panama",1312,"North America","CONCACAF",4,9,5
"Haiti",1285,"North America","CONCACAF",4,4,5
"Uzbekistan",1283,"Asia","AFC",4,3,5
"Jordan",1243,"Asia","AFC",4,12,5
"New Zealand",1149,"Oceania","OFC",4,1,5
"Mexico",1632,"North America","CONCACAF",1,2,6
"United States",1548,"North America","CONCACAF",1,1,6
"Canada",1332,"North America","CONCACAF",1,3,6
"Belgium",1780,"Europe","UEFA",1,8,6
"France",1755,"Europe","UEFA",1,12,6
"Brazil",1743,"South America","CONMEBOL",1,4,6
"England",1670,"Europe","UEFA",1,11,6
