"country","score","continent","confederation","pot","group","simulation"
"Algeria",1488,"Africa","CAF",3,1,12
"Morocco",1481,"Africa","CAF",3,11,12
"Paraguay",1476,"South America","CONMEBOL",3,3,12
"Nigeria",1474,"Africa","CAF",3,6,12
"Korea Republic",1465,"Asia","AFC",3,8,12
"Australia",1457,"Asia","AFC",3,10,12
"Norway",1450,"Europe","UEFA",3,4,12
"Jamaica",1437,"North America","CONCACAF",3,7,12
"Scotland",1436,"Europe","UEFA",3,9,12
"Egypt",1432,"Africa","CAF",3,2,12
"Cameroon",1427,"Africa","CAF",4,7,12
"Costa Rica",1427,"North America","CONCACAF",4,8,12
"Ghana",1424,"Africa","CAF",4,10,12
"Ecuador",1409,"South America","CONMEBOL",4,5,12
"Qatar",1391,"Asia","AFC",4,1,12
"Saudi Arabia",1353,"Asia","AFC",4,6,12
"South Africa",1341,"Africa","CAF",4,12,12
"Panama",1312,"North America","CONCACAF",4,11,12
"Haiti",1285,"North America","CONCACAF",4,4,12
"Uzbekistan",1283,"Asia","AFC",4,3,12
"Jordan",1243,"Asia","AFC",4,9,12
"New Zealand",1149,"Oceania","OFC",4,2,12
"Mexico",1632,"North America","CONCACAF",1,2,13
"United States",1548,"North America","CONCACAF",1,1,13
"Canada",1332,"North America","CONCACAF",1,3,13
"Belgium",1780,"Europe","UEFA",1,4,13
"France",1755,"Europe","UEFA",1,11,13
"Brazil",1743,"South America","CONMEBOL",1,9,13
"England",1670,"Europe","UEFA",1,5,13
"Portugal",1662,"Europe","UEFA",1,12,13
"Spain",1645,"Europe","UEFA",1,6,13
"Argentina",1642,"South America","CONMEBOL",1,7,13
"Uruguay",1639,"South America","CONMEBOL",1,8,13
"Italy",1625,"Europe","UEFA",1,10,13
"Croatia",1617,"Europe","UEFA",2,4,13
"Denmark",1614,"Europe","UEFA",2,8,13
"Germany",1610,"Europe","UEFA",2,9,13
"Netherlands",1609,"Europe","UEFA",2,7,13
"Colombia",1601,"South America","CONMEBOL",2,10,13
"Switzerland",1593,"Europe","UEFA",2,12,13
"Chile",1567,"South America","CONMEBOL",2,11,13
"Wales",1562,"Europe","UEFA",2,3,13
"Poland",1559,"Europe","UEFA",2,1,13
"Senegal",1558,"Africa","CAF",2,2,13
"Austria",1531,"Europe","UEFA",2,5,13
"Tunisia",1503,"Africa","CAF",2,6,13
"Japan",1502,"Asia","AFC",3,2,13
"Iran",1496,"Asia","AFC",3,6,13
"Algeria",1488,"Africa","CAF",3,7,13
"Morocco",1481,"Africa","CAF",3,10,13
"Paraguay",1476,"South America","CONMEBOL",3,12,13
"Nigeria",1474,"Africa","CAF",3,9,13
"Korea Republic",1465,"Asia","AFC",3,8,13
"Australia",1457,"Asia","AFC",3,4,13
"Norway",1450,"Europe","UEFA",3,11,13
"Jamaica",1437,"North America","CONCACAF",3,5,13
"Scotland",1436,"Europe","UEFA",3,1,13
"Egypt",1432,"Africa","CAF",3,3,13
"Cameroon",1427,"Africa","CAF",4,8,13
"Costa Rica",1427,"North America","CONCACAF",4,6,13
"Ghana",1424,"Africa","CAF",4,11,13
"Ecuador",1409,"South America","CONMEBOL",4,1,13
"Qatar",1391,"Asia","AFC",4,3,13
"Saudi Arabia",1353,"Asia","AFC",4,12,13
"South Africa",1341,"Africa","CAF",4,5,13
"Panama",1312,"North America","CONCACAF",4,4,13
"Haiti",1285,"North America","CONCACAF",4,10,13
"Uzbekistan",1283,"Asia","AFC",4,9,13
"Jordan",1243,"Asia","AFC",4,7,13
"New Zealand",1149,"Oceania","OFC",4,2,13
"Mexico",1632,"North America","CONCACAF",1,2,14
"United States",1548,"North America","CONCACAF",1,1,14
"Canada",1332,"North America","CONCACAF",1,3,14
"Belgium",1780,"Europe","UEFA",1,5,14
"France",1755,"Europe","UEFA",1,12,14
"Brazil",1743,"South America","CONMEBOL",1,9,14
"England",1670,"Europe","UEFA",1,11,14
"Portugal",1662,"Europe","UEFA",1,4,14
"Spain",1645,"Europe","UEFA",1,10,14
"Argentina",1642,"South America","CONMEBOL",1,7,14
"Uruguay",1639,"South America","CONMEBOL",1,8,14
"Italy",1625,"Europe","UEFA",1,6,14
"Croatia",1617,"Europe","UEFA",2,3,14
"Denmark",1614,"Europe","UEFA",2,4,14
"Germany",1610,"Europe","UEFA",2,9,14
"Netherlands",1609,"Europe","UEFA",2,8,14
"Colombia",1601,"South America","CONMEBOL",2,5,14
"Switzerland",1593,"Europe","UEFA",2,12,14
"Chile",1567,"South America","CONMEBOL",2,10,14
"Wales",1562,"Europe","UEFA",2,11,14
"Poland",1559,"Europe","UEFA",2,7,14
"Senegal",1558,"Africa","CAF",2,1,14
"Austria",1531,"Europe","UEFA",2,6,14
"Tunisia",1503,"Africa","CAF",2,2,14
"Japan",1502,"Asia","AFC",3,7,14
"Iran",1496,"Asia","AFC",3,12,14
"Algeria",1488,"Africa","CAF",3,8,14
"Morocco",1481,"Africa","CAF",3,3,14
"Paraguay",1476,"South America","CONMEBOL",3,1,14
"Nigeria",1474,"Africa","CAF",3,5,14
"Korea Republic",1465,"Asia","AFC",3,2,14
"Australia",1457,"Asia","AFC",3,9,14
"Norway",1450,"Europe","UEFA",3,6,14
"Jamaica",1437,"North America","CONCACAF",3,4,14
"Scotland",1436,"Europe","UEFA",3,10,14
"Egypt",1432,"Africa","CAF",3,11,14
"Cameroon",1427,"Africa","CAF",4,9,14
"Costa Rica",1427,"North America","CONCACAF",4,7,14
"Ghana",1424,"Africa","CAF",4,6,14
"Ecuador",1409,"South America","CONMEBOL",4,11,14
"Qatar",1391,"Asia","AFC",4,3,14
"Saudi Arabia",1353,"Asia","AFC",4,10,14
"South Africa",1341,"Africa","CAF",4,12,14
"Panama",1312,"North America","CONCACAF",4,5,14
"Haiti",1285,"North America","CONCACAF",4,8,14
"Uzbekistan",1283,"Asia","AFC",4,4,14
"Jordan",1243,"Asia","AFC",4,1,14
"New Zealand",1149,"Oceania","OFC",4,2,14
"Mexico",1632,"North America","CONCACAF",1,2,15
"United States",1548,"North America","CONCACAF",1,1,15
"Canada",1332,"North America","CONCACAF",1,3,15
"Belgium",1780,"Europe","UEFA",1,11,15
"France",1755,"Europe","UEFA",1,12,15
"Brazil",1743,"South America","CONMEBOL",1,10,15
"England",1670,"Europe","UEFA",1,9,15
"Portugal",1662,"Europe","UEFA",1,7,15
"Spain",1645,"Europe","UEFA",1,4,15
"Argentina",1642,"South America","CONMEBOL",1,8,15
"Uruguay",1639,"South America","CONMEBOL",1,6,15
"Italy",1625,"Europe","UEFA",1,5,15
"Croatia",1617,"Europe","UEFA",2,2,15
"Denmark",1614,"Europe","UEFA",2,10,15
"Germany",1610,"Europe","UEFA",2,1,15
"Netherlands",1609,"Europe","UEFA",2,12,15
"Colombia",1601,"South America","CONMEBOL",2,5,15
"Switzerland",1593,"Europe","UEFA",2,8,15
"Chile",1567,"South America","CONMEBOL",2,3,15
"Wales",1562,"Europe","UEFA",2,6,15
"Poland",1559,"Europe","UEFA",2,11,15
"Senegal",1558,"Africa","CAF",2,9,15
"Austria",1531,"Europe","UEFA",2,7,15
"Tunisia",1503,"Africa","CAF",2,4,15
"Japan",1502,"Asia","AFC",3,5,15
"Iran",1496,"Asia","AFC",3,9,15
"Algeria",1488,"Africa","CAF",3,2,15
"Morocco",1481,"Africa","CAF",3,12,15
"Paraguay",1476,"South America","CONMEBOL",3,11,15
"Nigeria",1474,"Africa","CAF",3,6,15
"Korea Republic",1465,"Asia","AFC",3,7,15
"Australia",1457,"Asia","AFC",3,10,15
"Norway",1450,"Europe","UEFA",3,3,15
"Jamaica",1437,"North America","CONCACAF",3,4,15
"Scotland",1436,"Europe","UEFA",3,1,15
"Egypt",1432,"Africa","CAF",3,8,15
"Cameroon",1427,"Africa","CAF",4,10,15
"Costa Rica",1427,"North America","CONCACAF",4,6,15
"Ghana",1424,"Africa","CAF",4,7,15
"Ecuador",1409,"South America","CONMEBOL",4,2,15
"Qatar",1391,"Asia","AFC",4,12,15
"Saudi Arabia",1353,"Asia","AFC",4,3,15
"South Africa",1341,"Africa","CAF",4,5,15
"Panama",1312,"North America","CONCACAF",4,8,15
"Haiti",1285,"North America","CONCACAF",4,11,15
"Uzbekistan",1283,"Asia","AFC",4,1,15
"Jordan",1243,"Asia","AFC",4,4,15
"New Zealand",1149,"Oceania","OFC",4,9,15
"Mexico",1632,"North America","CONCACAF",1,2,16
"United States",1548,"North America","CONCACAF",1,1,16
"Canada",1332,"North America","CONCACAF",1,3,16
"Belgium",1780,"Europe","UEFA",1,10,16
"France",1755,"Europe","UEFA",1,6,16
"Brazil",1743,"South America","CONMEBOL",1,11,16
"England",1670,"Europe","UEFA",1,5,16
"Portugal",1662,"Europe","UEFA",1,9,16
"Spain",1645,"Europe","UEFA",1,7,16
"Argentina",1642,"South America","CONMEBOL",1,8,16
"Uruguay",1639,"South America","CONMEBOL",1,12,16
"Italy",1625,"Europe","UEFA",1,4,16
"Croatia",1617,"Europe","UEFA",2,12,16
"Denmark",1614,"Europe","UEFA",2,3,16
"Germany",1610,"Europe","UEFA",2,10,16
"Netherlands",1609,"Europe","UEFA",2,8,16
"Colombia",1601,"South America","CONMEBOL",2,7,16
"Switzerland",1593,"Europe","UEFA",2,6,16
"Chile",1567,"South America","CONMEBOL",2,9,16
"Wales",1562,"Europe","UEFA",2,4,16
"Poland",1559,"Europe","UEFA",2,1,16
"Senegal",1558,"Africa","CAF",2,5,16
"Austria",1531,"Europe","UEFA",2,11,16
"Tunisia",1503,"Africa","CAF",2,2,16
"Japan",1502,"Asia","AFC",3,12,16
"Iran",1496,"Asia","AFC",3,7,16
"Algeria",1488,"Africa","CAF",3,4,16
"Morocco",1481,"Africa","CAF",3,6,16
"Paraguay",1476,"South America","CONMEBOL",3,10,16
"Nigeria",1474,"Africa","CAF",3,9,16
"Korea Republic",1465,"Asia","AFC",3,5,16
"Australia",1457,"Asia","AFC",3,2,16
"Norway",1450,"Europe","UEFA",3,3,16
"Jamaica",1437,"North America","CONCACAF",3,11,16
"Scotland",1436,"Europe","UEFA",3,8,16
"Egypt",1432,"Africa","CAF",3,1,16
"Cameroon",1427,"Africa","CAF",4,3,16
"Costa Rica",1427,"North America","CONCACAF",4,6,16
"Ghana",1424,"Africa","CAF",4,12,16
"Ecuador",1409,"South America","CONMEBOL",4,2,16
"Qatar",1391,"Asia","AFC",4,11,16
"Saudi Arabia",1353,"Asia","AFC",4,8,16
"South Africa",1341,"Africa","CAF",4,7,16
"Panama",1312,"North America","CONCACAF",4,5,16
"Haiti",1285,"North America","CONCACAF",4,4,16
"Uzbekistan",1283,"Asia","AFC",4,10,16
"Jordan",1243,"Asia","AFC",4,1,16
"New Zealand",1149,"Oceania","OFC",4,9,16
"Mexico",1632,"North America","CONCACAF",1,2,17
"United States",1548,"North America","CONCACAF",1,1,17
"Canada",1332,"North America","CONCACAF",1,3,17
"Belgium",1780,"Europe","UEFA",1,5,17
"France",1755,"Europe","UEFA",1,9,17
"Brazil",1743,"South America","CONMEBOL",1,11,17
"England",1670,"Europe","UEFA",1,4,17
"Portugal",1662,"Europe","UEFA",1,6,17
"Spain",1645,"Europe","UEFA",1,8,17
"Argentina",1642,"South America","CONMEBOL",1,12,17
"Uruguay",1639,"South America","CONMEBOL",1,7,17
"Italy",1625,"Europe","UEFA",1,10,17
"Croatia",1617,"Europe","UEFA",2,1,17
"Denmark",1614,"Europe","UEFA",2,10,17
"Germany",1610,"Europe","UEFA",2,9,17
"Netherlands",1609,"Europe","UEFA",2,3,17
"Colombia",1601,"South America","CONMEBOL",2,2,17
"Switzerland",1593,"Europe","UEFA",2,7,17
"Chile",1567,"South America","CONMEBOL",2,5,17
"Wales",1562,"Europe","UEFA",2,12,17
"Poland",1559,"Europe","UEFA",2,6,17
"Senegal",1558,"Africa","CAF",2,11,17
"Austria",1531,"Europe","UEFA",2,8,17
"Tunisia",1503,"Africa","CAF",2,4,17
"Japan",1502,"Asia","AFC",3,12,17
"Iran",1496,"Asia","AFC",3,1,17
"Algeria",1488,"Africa","CAF",3,2,17
"Morocco",1481,"Africa","CAF",3,3,17
"Paraguay",1476,"South America","CONMEBOL",3,9,17
"Nigeria",1474,"Africa","CAF",3,10,17
"Korea Republic",1465,"Asia","AFC",3,8,17
"Australia",1457,"Asia","AFC",3,7,17
"Norway",1450,"Europe","UEFA",3,11,17
"Jamaica",1437,"North America","CONCACAF",3,4,17
"Scotland",1436,"Europe","UEFA",3,5,17
"Egypt",1432,"Africa","CAF",3,6,17
"Cameroon",1427,"Africa","CAF",4,5,17
"Costa Rica",1427,"North America","CONCACAF",4,12,17
"Ghana",1424,"Africa","CAF",4,8,17
"Ecuador",1409,"South America","CONMEBOL",4,10,17
"Qatar",1391,"Asia","AFC",4,6,17
"Saudi Arabia",1353,"Asia","AFC",4,4,17
"South Africa",1341,"Africa","CAF",4,1,17
"Panama",1312,"North America","CONCACAF",4,7,17
"Haiti",1285,"North America","CONCACAF",4,11,17
"Uzbekistan",1283,"Asia","AFC",4,3,17
"Jordan",1243,"Asia","AFC",4,2,17
"New Zealand",1149,"Oceania","OFC",4,9,17
"Mexico",1632,"North America","CONCACAF",1,2,18
"United States",1548,"North America","CONCACAF",1,1,18
"Canada",1332,"North America","CONCACAF",1,3,18
"Belgium",1780,"Europe","UEFA",1,7,18
"France",1755,"Europe","UEFA",1,11,18
"Brazil",1743,"South America","CONMEBOL",1,12,18
"England",1670,"Europe","UEFA",1,9,18
"Portugal",1662,"Europe","UEFA",1,4,18
"Spain",1645,"Europe","UEFA",1,8,18
"Argentina",1642,"South America","CONMEBOL",1,6,18
"Uruguay",1639,"South America","CONMEBOL",1,5,18
"Italy",1625,"Europe","UEFA",1,10,18
"Croatia",1617,"Europe","UEFA",2,10,18
"Denmark",1614,"Europe","UEFA",2,5,18
"Germany",1610,"Europe","UEFA",2,3,18
"Netherlands",1609,"Europe","UEFA",2,11,18
"Colombia",1601,"South America","CONMEBOL",2,9,18
"Switzerland",1593,"Europe","UEFA",2,6,18
"Chile",1567,"South America","CONMEBOL",2,7,18
"Wales",1562,"Europe","UEFA",2,2,18
"Poland",1559,"Europe","UEFA",2,1,18
"Senegal",1558,"Africa","CAF",2,4,18
"Austria",1531,"Europe","UEFA",2,12,18
"Tunisia",1503,"Africa","CAF",2,8,18
"Japan",1502,"Asia","AFC",3,12,18
"Iran",1496,"Asia","AFC",3,2,18
"Algeria",1488,"Africa","CAF",3,1,18
"Morocco",1481,"Africa","CAF",3,3,18
"Paraguay",1476,"South America","CONMEBOL",3,8,18
"Nigeria",1474,"Africa","CAF",3,5,18
"Korea Republic",1465,"Asia","AFC",3,10,18
"Australia",1457,"Asia","AFC",3,4,18
"Norway",1450,"Europe","UEFA",3,11,18
"Jamaica",1437,"North America","CONCACAF",3,9,18
"Scotland",1436,"Europe","UEFA",3,7,18
"Egypt",1432,"Africa","CAF",3,6,18
"Cameroon",1427,"Africa","CAF",4,2,18
"Costa Rica",1427,"North America","CONCACAF",4,7,18
"Ghana",1424,"Africa","CAF",4,11,18
"Ecuador",1409,"South America","CONMEBOL",4,10,18
"Qatar",1391,"Asia","AFC",4,3,18
"Saudi Arabia",1353,"Asia","AFC",4,1,18
"South Africa",1341,"Africa","CAF",4,12,18
"Panama",1312,"North America","CONCACAF",4,4,18
"Haiti",1285,"North America","CONCACAF",4,5,18
"Uzbekistan",1283,"Asia","AFC",4,8,18
"Jordan",1243,"Asia","AFC",4,6,18
"New Zealand",1149,"Oceania","OFC",4,9,18
"Mexico",1632,"North America","CONCACAF",1,2,19
"United States",1548,"North America","CONCACAF",1,1,19
"Canada",1332,"North America","CONCACAF",1,3,19
"Belgium",1780,"Europe","UEFA",1,5,19
"France",1755,"Europe","UEFA",1,8,19
"Brazil",1743,"South America","CONMEBOL",1,10,19
"England",1670,"Europe","UEFA",1,11,19
"Portugal",1662,"Europe","UEFA",1,6,19
"Spain",1645,"Europe","UEFA",1,7,19
"Argentina",1642,"South America","CONMEBOL",1,4,19
"Uruguay",1639,"South America","CONMEBOL",1,12,19
"Italy",1625,"Europe","UEFA",1,9,19
"Croatia",1617,"Europe","UEFA",2,10,19
"Denmark",1614,"Europe","UEFA",2,8,19
"Germany",1610,"Europe","UEFA",2,7,19
"Netherlands",1609,"Europe","UEFA",2,1,19
"Colombia",1601,"South America","CONMEBOL",2,9,19
"Switzerland",1593,"Europe","UEFA",2,2,19
"Chile",1567,"South America","CONMEBOL",2,5,19
"Wales",1562,"Europe","UEFA",2,4,19
"Poland",1559,"Europe","UEFA",2,3,19
"Senegal",1558,"Africa","CAF",2,12,19
"Austria",1531,"Europe","UEFA",2,6,19
"Tunisia",1503,"Africa","CAF",2,11,19
"Japan",1502,"Asia","AFC",3,12,19
"Iran",1496,"Asia","AFC",3,4,19
"Algeria",1488,"Africa","CAF",3,2,19
"Morocco",1481,"Africa","CAF",3,1,19
"Paraguay",1476,"South America","CONMEBOL",3,11,19
"Nigeria",1474,"Africa","CAF",3,3,19
"Korea Republic",1465,"Asia","AFC",3,5,19
"Australia",1457,"Asia","AFC",3,6,19
"Norway",1450,"Europe","UEFA",3,8,19
"Jamaica",1437,"North America","CONCACAF",3,7,19
"Scotland",1436,"Europe","UEFA",3,10,19
"Egypt",1432,"Africa","CAF",3,9,19
"Cameroon",1427,"Africa","CAF",4,10,19
"Costa Rica",1427,"North America","CONCACAF",4,6,19
"Ghana",1424,"Africa","CAF",4,7,19
"Ecuador",1409,"South America","CONMEBOL",4,1,19
"Qatar",1391,"Asia","AFC",4,3,19
"Saudi Arabia",1353,"Asia","AFC",4,2,19
"South Africa",1341,"Africa","CAF",4,5,19
"Panama",1312,"North America","CONCACAF",4,12,19
"Haiti",1285,"North America","CONCACAF",4,4,19
"Uzbekistan",1283,"Asia","AFC",4,11,19
"Jordan",1243,"Asia","AFC",4,9,19
"New Zealand",1149,"Oceania","OFC",4,8,19
"Mexico",1632,"North America","CONCACAF",1,2,20
"United States",1548,"North America","CONCACAF",1,1,20
"Canada",1332,"North America","CONCACAF",1,3,20
"Belgium",1780,"Europe","UEFA",1,12,20
"France",1755,"Europe","UEFA",1,8,20
"Brazil",1743,"South America","CONMEBOL",1,5,20
"England",1670,"Europe","UEFA",1,7,20
"Portugal",1662,"Europe","UEFA",1,6,20
"Spain",1645,"Europe","UEFA",1,11,20
"Argentina",1642,"South America","CONMEBOL",1,10,20
"Uruguay",1639,"South America","CONMEBOL",1,4,20
"Italy",1625,"Europe","UEFA",1,9,20
"Croatia",1617,"Europe","UEFA",2,1,20
"Denmark",1614,"Europe","UEFA",2,10,20
"Germany",1610,"Europe","UEFA",2,5,20
"Netherlands",1609,"Europe","UEFA",2,6,20
"Colombia",1601,"South America","CONMEBOL",2,3,20
"Switzerland",1593,"Europe","UEFA",2,4,20
"Chile",1567,"South America","CONMEBOL",2,11,20
"Wales",1562,"Europe","UEFA",2,12,20
"Poland",1559,"Europe","UEFA",2,2,20
"Senegal",1558,"Africa","CAF",2,8,20
"Austria",1531,"Europe","UEFA",2,9,20
"Tunisia",1503,"Africa","CAF",2,7,20
"Japan",1502,"Asia","AFC",3,10,20
"Iran",1496,"Asia","AFC",3,6,20
"Algeria",1488,"Africa","CAF",3,5,20
"Morocco",1481,"Africa","CAF",3,3,20
"Paraguay",1476,"South America","CONMEBOL",3,7,20
"Nigeria",1474,"Africa","CAF",3,9,20
"Korea Republic",1465,"Asia","AFC",3,1,20
"Australia",1457,"Asia","AFC",3,2,20
"Norway",1450,"Europe","UEFA",3,11,20
"Jamaica",1437,"North America","CONCACAF",3,12,20
"Scotland",1436,"Europe","UEFA",3,8,20
"Egypt",1432,"Africa","CAF",3,4,20
"Cameroon",1427,"Africa","CAF",4,6,20
"Costa Rica",1427,"North America","CONCACAF",4,8,20
"Ghana",1424,"Africa","CAF",4,2,20
"Ecuador",1409,"South America","CONMEBOL",4,12,20
"Qatar",1391,"Asia","AFC",4,3,20
"Saudi Arabia",1353,"Asia","AFC",4,9,20
"South Africa",1341,"Africa","CAF",4,1,20
"Panama",1312,"North America","CONCACAF",4,4,20
"Haiti",1285,"North America","CONCACAF",4,7,20
"Uzbekistan",1283,"Asia","AFC",4,11,20
"Jordan",1243,"Asia","AFC",4,5,20
"New Zealand",1149,"Oceania","OFC",4,10,20
