"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Norway",5,1,"Senegal",7,2,2,25
"Belgium",7,1,"Croatia",12,3,3,25
"Brazil",9,1,"Panama",5,2,4,25
"Italy",8,1,"Algeria",2,3,5,25
"Spain",4,1,"New Zealand",7,3,6,25
"Switzerland",3,1,"Uruguay",5,3,7,25
"Jordan",1,1,"Paraguay",3,2,8,25
"Colombia",2,1,"Canada",3,3,9,25
"Mexico",2,2,"United States",1,3,10,25
"Argentina",12,1,"France",11,2,11,25
"Austria",1,2,"Morocco",12,2,12,25
"Poland",4,2,"Jamaica",10,2,13,25
"Denmark",8,2,"Wales",9,2,14,25
"England",10,1,"Costa Rica",11,3,15,25
"Tunisia",11,1,"Chile",10,3,16,25
"Norway",1,1,"Portugal",5,3,1,26
"Switzerland",5,1,"Ghana",4,3,2,26
"Brazil",10,1,"Austria",1,3,3,26
"Spain",8,1,"Qatar",6,3,4,26
"Morocco",9,1,"Algeria",12,3,5,26
"Germany",7,2,"England",9,2,6,26
"Italy",11,2,"Croatia",9,3,7,26
"Colombia",12,2,"Nigeria",2,2,8,26
"Mexico",2,1,"Jamaica",4,2,9,26
"France",4,1,"Denmark",2,3,10,26
"Netherlands",11,1,"Cameroon",8,2,11,26
"Belgium",12,1,"Japan",3,1,12,26
"Argentina",7,1,"Scotland",10,2,13,26
"Paraguay",5,2,"United States",1,2,14,26
"New Zealand",3,2,"Poland",6,1,15,26
"New Zealand",3,3,"Uruguay",6,2,16,26
"Algeria",8,1,"France",6,3,1,27
"Brazil",10,1,"Japan",3,3,2,27
"Spain",5,1,"Chile",8,3,3,27
"United States",1,1,"Cameroon",2,3,4,27
"Tunisia",3,1,"Belgium",7,3,5,27
"Netherlands",4,1,"Wales",11,2,6,27
"England",9,1,"Korea Republic",4,3,7,27
"Italy",12,1,"Canada",3,2,8,27
"Iran",5,2,"Scotland",1,3,9,27
"Germany",7,1,"Jamaica",11,3,10,27
"Australia",10,2,"Uruguay",4,2,11,27
"Ghana",11,1,"Nigeria",7,2,12,27
"Ecuador",1,2,"Norway",6,1,13,27
"Morocco",12,2,"Denmark",9,2,14,27
"Portugal",8,2,"Austria",6,2,15,27
"Switzerland",2,1,"Mexico",2,2,16,27
"Poland",1,1,"United States",1,3,1,28
"Portugal",4,1,"Ecuador",7,3,2,28
"Mexico",2,1,"Uzbekistan",11,3,3,28
"Brazil",9,1,"Germany",10,2,4,28
"Paraguay",3,1,"Switzerland",12,3,5,28
"Uruguay",5,2,"Costa Rica",6,3,6,28
"Croatia",5,1,"Ghana",3,3,7,28
"Denmark",8,1,"Algeria",10,3,8,28
"Austria",11,1,"Tunisia",9,2,9,28
"Belgium",10,1,"New Zealand",9,3,10,28
"Korea Republic",1,2,"Iran",12,2,11,28
"Wales",4,2,"Spain",11,2,12,28
"Scotland",7,1,"England",7,2,13,28
"Colombia",2,2,"Chile",6,2,14,28
"Netherlands",3,2,"France",12,1,15,28
"Argentina",8,2,"Italy",6,1,16,28
"Denmark",3,1,"Netherlands",9,3,1,29
"Argentina",9,1,"Algeria",1,3,2,29
"Uruguay",6,1,"Jordan",11,3,3,29
"Portugal",4,1,"Iran",12,2,4,29
"Germany",11,1,"Scotland",7,2,5,29
"France",10,1,"Poland",4,2,6,29
"Ecuador",1,1,"Paraguay",2,3,7,29
"Brazil",7,1,"Croatia",2,2,8,29
"Japan",9,2,"Costa Rica",12,3,9,29
"Colombia",8,2,"Saudi Arabia",10,2,10,29
"Wales",1,2,"Qatar",8,3,11,29
"Belgium",12,1,"Switzerland",6,2,12,29
"Korea Republic",5,1,"Canada",3,2,13,29
"Spain",8,1,"Austria",7,3,14,29
"Italy",11,2,"England",5,3,15,29
"Mexico",2,1,"Haiti",5,2,16,29
"Portugal",4,1,"Japan",11,3,1,30
"France",8,1,"Iran",7,3,2,30
"Belgium",10,1,"Uruguay",12,3,3,30
"Nigeria",1,1,"England",9,2,4,30
"Argentina",7,1,"Netherlands",5,2,5,30
"Algeria",5,1,"Switzerland",7,2,6,30
"Colombia",11,1,"Brazil",5,3,7,30
"Poland",2,2,"Jamaica",10,2,8,30
"Mexico",2,1,"Egypt",8,2,9,30
"Wales",3,1,"Norway",6,2,10,30
"Spain",6,1,"Germany",4,2,11,30
"Denmark",1,2,"Scotland",2,3,12,30
"New Zealand",3,2,"Senegal",6,3,13,30
"Australia",12,2,"Italy",11,2,14,30
"Croatia",9,1,"Ecuador",10,3,15,30
"Austria",12,1,"Paraguay",9,3,16,30
"Argentina",4,1,"Japan",2,3,1,31
"England",8,1,"Switzerland",6,3,2,31
"Netherlands",10,1,"Egypt",10,3,3,31
"Belgium",5,1,"Morocco",1,3,4,31
"France",11,1,"Costa Rica",5,3,5,31
"Spain",6,1,"Wales",12,3,6,31
"Brazil",9,1,"Austria",7,2,7,31
"Mexico",2,1,"Paraguay",6,2,8,31
"Scotland",12,1,"Ghana",7,3,9,31
"Colombia",1,1,"Senegal",2,2,10,31
"United States",1,2,"Croatia",9,2,11,31
"Italy",7,1,"Cameroon",4,2,12,31
"Portugal",12,2,"Uruguay",10,2,13,31
"Denmark",3,3,"Iran",8,2,14,31
"Nigeria",3,2,"Jordan",3,1,15,31
"Chile",5,2,"Germany",11,2,16,31
"United States",1,1,"Jamaica",4,3,1,32
"Germany",3,1,"Ghana",3,3,2,32
"Italy",6,1,"Portugal",10,3,3,32
"Uruguay",7,1,"Korea Republic",8,2,4,32
"Argentina",12,1,"Paraguay",6,2,5,32
"Algeria",2,1,"Scotland",3,2,6,32
"France",5,1,"Mexico",2,2,7,32
"Tunisia",8,1,"England",8,3,8,32
"Senegal",4,2,"Poland",6,3,9,32
"Belgium",9,1,"Qatar",1,3,10,32
"Wales",10,1,"Egypt",1,2,11,32
"Brazil",4,1,"Ecuador",11,2,12,32
"Denmark",7,2,"Nigeria",11,3,13,32
"Colombia",5,2,"Iran",9,3,14,32
"Switzerland",9,2,"Australia",12,2,15,32
"Japan",10,2,"Spain",11,1,16,32
"Chile",2,1,"England",11,3,1,33
"Ecuador",3,1,"Uzbekistan",1,3,2,33
"Germany",9,1,"Japan",2,3,3,33
"Brazil",12,1,"Canada",3,3,4,33
"Netherlands",8,1,"Korea Republic",5,3,5,33
"Spain",5,1,"Denmark",6,2,6,33
"Croatia",5,2,"Paraguay",8,3,7,33
"Portugal",7,1,"Ghana",4,3,8,33
"Qatar",10,1,"Cameroon",2,2,9,33
"Saudi Arabia",12,2,"Haiti",6,3,10,33
"Colombia",4,2,"Algeria",3,2,11,33
"Senegal",1,1,"Belgium",8,2,12,33
"Norway",1,2,"Switzerland",7,2,13,33
"Morocco",10,2,"Iran",11,1,14,33
"Uruguay",9,2,"Argentina",6,1,15,33
"Italy",4,1,"Poland",11,2,16,33
"Wales",11,1,"Senegal",6,3,1,34
"Austria",1,1,"Iran",8,3,2,34
"England",6,1,"Germany",5,3,3,34
"Belgium",7,1,"Italy",11,3,4,34
"France",10,1,"Chile",3,3,5,34
"Korea Republic",2,1,"Panama",7,3,6,34
"Canada",3,1,"Egypt",4,3,7,34
"Portugal",8,1,"Scotland",3,2,8,34
"Denmark",9,1,"Australia",11,2,9,34
"Croatia",4,2,"Poland",8,2,10,34
"Argentina",5,1,"Japan",12,2,11,34
"Switzerland",12,1,"South Africa",2,3,12,34
"Brazil",4,1,"Algeria",1,2,13,34
"Paraguay",6,2,"Norway",10,2,14,34
"Netherlands",7,2,"Jamaica",5,2,15,34
"Colombia",2,2,"Spain",9,2,16,34
"Costa Rica",11,1,"Saudi Arabia",1,3,1,35
"Germany",1,1,"Cameroon",9,3,2,35
"Iran",3,1,"South Africa",3,3,3,35
"Argentina",5,1,"Croatia",9,2,4,35
"Korea Republic",10,2,"Paraguay",7,3,5,35
"England",4,1,"Denmark",8,3,6,35
"Netherlands",6,1,"Morocco",4,3,7,35
"Poland",2,1,"Algeria",6,3,8,35
"France",10,1,"Nigeria",2,3,9,35
"Italy",7,1,"Senegal",7,2,10,35
"Brazil",12,1,"Spain",9,1,11,35
"Ecuador",8,2,"Belgium",11,2,12,35
"United States",1,2,"Mexico",2,2,13,35
"Chile",3,2,"Portugal",8,1,14,35
"Wales",5,2,"Uruguay",6,2,15,35
"Switzerland",12,2,"Colombia",4,2,16,35
"Ecuador",3,1,"Japan",11,3,1,36
"Portugal",5,1,"Iran",5,2,2,36
"Argentina",7,1,"Paraguay",1,3,3,36
"Colombia",10,1,"Jordan",12,3,4,36
"Mexico",2,1,"Norway",10,3,5,36
"Uruguay",9,1,"Wales",6,3,6,36
"Brazil",11,2,"Senegal",5,3,7,36
"Netherlands",4,1,"Morocco",2,3,8,36
"Chile",8,1,"Algeria",8,3,9,36
"Tunisia",11,1,"Nigeria",3,2,10,36
"Switzerland",12,2,"Korea Republic",7,2,11,36
"Egypt",6,2,"Poland",1,1,12,36
"Australia",9,2,"Italy",8,2,13,36
"England",10,2,"United States",1,2,14,36
"France",4,2,"Denmark",2,2,15,36
"Spain",6,1,"Belgium",12,1,16,36
"Chile",3,1,"Italy",4,3,1,37
"France",5,1,"Switzerland",12,2,2,37
"England",12,1,"Japan",9,3,3,37
"Spain",6,1,"Korea Republic",8,3,4,37
"Croatia",10,1,"Poland",7,3,5,37
"Jamaica",11,1,"Scotland",12,3,6,37
"Tunisia",1,1,"Australia",10,3,7,37
"Portugal",8,1,"Colombia",5,2,8,37
"Brazil",9,1,"Jordan",3,2,9,37
"Paraguay",2,3,"United States",1,3,10,37
"Morocco",4,2,"Netherlands",8,2,11,37
"Iran",7,2,"Denmark",9,2,12,37
"Senegal",2,2,"Uruguay",10,2,13,37
