"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Mexico",2,1,"Haiti",4,3,1,1
"Spain",6,1,"Ecuador",1,3,2,1
"England",7,1,"Algeria",6,3,3,1
"Brazil",11,1,"Scotland",8,3,4,1
"France",10,1,"Senegal",3,3,5,1
"Argentina",4,1,"Austria",9,2,6,1
"Uruguay",5,1,"Colombia",2,2,7,1
"Germany",8,1,"Croatia",7,2,8,1
"Paraguay",3,1,"Chile",6,2,9,1
"Belgium",12,1,"Iran",2,3,10,1
"Norway",1,2,"Jamaica",12,2,11,1
"Canada",3,2,"Japan",9,3,12,1
"United States",1,1,"Nigeria",10,2,13,1
"Switzerland",11,2,"Korea Republic",7,3,14,1
"Italy",9,1,"Panama",5,2,15,1
"Netherlands",4,2,"Portugal",8,2,16,1
"Brazil",4,1,"Denmark",2,2,1,2
"Paraguay",2,1,"Argentina",10,3,2,2
"Ecuador",3,1,"Algeria",4,3,3,2
"Croatia",1,1,"United States",1,3,4,2
"Italy",8,1,"Tunisia",3,3,5,2
"Poland",10,1,"Scotland",12,3,6,2
"Spain",11,1,"Jordan",7,3,7,2
"Uruguay",12,2,"Mexico",2,3,8,2
"Colombia",5,1,"Norway",11,3,9,2
"Korea Republic",6,2,"Nigeria",10,2,10,2
"Austria",12,1,"Switzerland",7,2,11,2
"England",7,1,"Portugal",5,2,12,2
"France",9,1,"South Africa",9,2,13,2
"Belgium",6,1,"Germany",11,2,14,2
"Iran",3,2,"Netherlands",4,2,15,2
"Japan",1,2,"Costa Rica",8,2,16,2
"Germany",12,1,"Egypt",4,3,1,3
"Uruguay",5,1,"Paraguay",10,3,2,3
"Italy",8,1,"Denmark",7,2,3,3
"Scotland",11,1,"Iran",8,3,4,3
"Brazil",7,1,"Jamaica",7,3,5,3
"France",6,1,"Saudi Arabia",3,3,6,3
"Spain",10,1,"England",11,2,7,3
"Costa Rica",4,1,"Switzerland",8,2,8,3
"Portugal",9,1,"Poland",11,3,9,3
"United States",1,1,"Japan",6,3,10,3
"Morocco",3,1,"Japan",6,2,11,3
"Croatia",10,2,"Argentina",4,2,12,3
"Nigeria",5,2,"Netherlands",1,2,13,3
"Tunisia",2,3,"Belgium",12,2,14,3
"Korea Republic",2,2,"Chile",3,2,15,3
"Colombia",9,2,"Mexico",2,1,16,3
"Belgium",7,1,"Wales",6,3,1,4
"Tunisia",8,1,"Chile",12,2,2,4
"Austria",4,1,"Scotland",12,3,3,4
"Germany",9,1,"Paraguay",10,3,4,4
"Brazil",6,1,"Algeria",7,3,5,4
"England",10,1,"France",9,2,6,4
"Spain",12,1,"Korea Republic",3,2,7,4
"Argentina",5,1,"United States",1,3,8,4
"Portugal",11,1,"Ecuador",11,2,9,4
"Switzerland",3,1,"Nigeria",9,3,10,4
"Senegal",10,2,"Japan",5,3,11,4
"Morocco",1,1,"Australia",2,3,12,4
"Italy",8,2,"Australia",2,2,13,4
"Colombia",7,2,"Norway",6,2,14,4
"Uruguay",4,2,"Croatia",5,2,15,4
"Poland",2,1,"Netherlands",1,2,16,4
"Netherlands",3,1,"Spain",4,3,1,5
"Mexico",2,1,"England",8,3,2,5
"Brazil",6,1,"Wales",5,3,3,5
"Argentina",7,1,"Croatia",6,2,4,5
"Chile",8,1,"Austria",7,2,5,5
"Norway",4,1,"United States",1,3,6,5
"Uruguay",9,1,"Senegal",12,3,7,5
"Jamaica",11,1,"Korea Republic",12,2,8,5
"Germany",1,1,"Italy",11,3,9,5
"Portugal",5,1,"Qatar",8,2,10,5
"Belgium",10,1,"Paraguay",5,2,11,5
"Egypt",1,2,"Iran",9,3,12,5
"Poland",2,2,"Uzbekistan",10,3,13,5
"France",12,1,"Denmark",10,2,14,5
"Australia",3,2,"Colombia",4,2,15,5
"Costa Rica",9,2,"Switzerland",11,2,16,5
"Colombia",3,1,"Ecuador",6,3,1,6
"Portugal",6,1,"Jordan",2,3,2,6
"France",7,1,"Mexico",2,2,3,6
"Germany",2,1,"Denmark",7,2,4,6
"Chile",5,1,"Poland",4,2,5,6
"Belgium",9,1,"Morocco",3,2,6,6
"Paraguay",8,1,"Costa Rica",12,2,7,6
"Spain",4,1,"Jamaica",9,3,8,6
"Croatia",11,1,"Canada",3,3,9,6
"Korea Republic",6,2,"Netherlands",1,3,10,6
"England",5,2,"United States",1,2,11,6
"Brazil",11,2,"Austria",10,2,12,6
"Uruguay",12,1,"Australia",4,3,13,6
"Argentina",10,1,"Egypt",12,3,14,6
"Italy",8,2,"Norway",10,3,15,6
"Iran",1,1,"Switzerland",9,2,16,6
"Japan",2,1,"New Zealand",7,2,1,7
"Denmark",1,1,"Netherlands",2,2,2,7
"Argentina",5,1,"United States",1,3,3,7
"Belgium",11,1,"Mexico",2,3,4,7
"Portugal",10,1,"Germany",11,3,5,7
"France",6,1,"Costa Rica",5,3,6,7
"Brazil",7,1,"England",9,2,7,7
"Switzerland",3,1,"Croatia",8,3,8,7
"Spain",12,1,"Australia",1,2,9,7
"Norway",11,2,"Scotland",9,3,10,7
"Jordan",3,2,"Qatar",4,3,11,7
"Korea Republic",5,2,"Algeria",12,3,12,7
"Colombia",6,2,"Chile",9,1,13,7
"Austria",10,2,"Uruguay",4,2,14,7
"Paraguay",8,2,"Poland",4,1,15,7
"Wales",12,2,"Italy",8,1,16,7
"Croatia",3,1,"Wales",11,3,1,8
"United States",1,1,"Belgium",7,3,2,8
"England",9,1,"Norway",6,3,3,8
"Colombia",7,1,"Canada",3,2,4,8
"Italy",10,1,"Japan",1,3,5,8
"Germany",8,1,"Netherlands",5,3,6,8
"Uruguay",11,1,"Poland",12,2,7,8
"Brazil",12,1,"Egypt",8,3,8,8
"Spain",5,1,"Saudi Arabia",7,2,9,8
"France",4,1,"Ghana",2,2,10,8
"Austria",1,2,"Tunisia",4,2,11,8
"Australia",5,2,"Chile",2,3,12,8
"Argentina",8,2,"Paraguay",4,3,13,8
"Mexico",2,1,"Costa Rica",11,2,14,8
"Denmark",10,2,"Switzerland",9,2,15,8
"Portugal",6,2,"Senegal",6,1,16,8
"Jordan",4,1,"Belgium",7,3,1,9
"Morocco",5,1,"Chile",6,3,2,9
"Denmark",2,1,"Netherlands",4,3,3,9
"Brazil",8,1,"South Africa",1,3,4,9
"Canada",3,2,"Norway",8,3,5,9
"Austria",3,1,"Colombia",5,2,6,9
"Portugal",11,1,"Uruguay",4,2,7,9
"Korea Republic",1,1,"Algeria",9,3,8,9
"Germany",9,1,"Tunisia",7,2,9,9
"Senegal",8,2,"France",5,3,10,9
"Italy",10,3,"Cameroon",2,2,11,9
"Poland",1,2,"England",9,2,12,9
"Paraguay",10,2,"Nigeria",12,2,13,9
"Australia",6,2,"Iran",11,2,14,9
"Wales",10,1,"Scotland",7,1,15,9
"Argentina",12,1,"Spain",6,1,16,9
"United States",1,1,"Korea Republic",2,3,1,10
"England",10,1,"Ecuador",1,2,2,10
"Spain",8,1,"Chile",10,2,3,10
"Belgium",5,1,"Switzerland",9,3,4,10
"Italy",6,1,"Denmark",11,2,5,10
"Qatar",9,1,"Colombia",6,3,6,10
"Netherlands",2,1,"Ghana",4,3,7,10
"Croatia",3,1,"Morocco",3,2,8,10
"Portugal",4,1,"Iran",1,3,9,10
"Haiti",5,2,"Canada",3,3,10,10
"New Zealand",7,3,"Argentina",11,1,11,10
"Paraguay",8,2,"Mexico",2,2,12,10
"Japan",12,3,"Austria",7,1,13,10
"Poland",4,2,"Uruguay",7,2,14,10
"Uzbekistan",6,2,"Germany",12,2,15,10
"Brazil",9,2,"France",12,1,16,10
"Wales",1,1,"South Africa",10,3,1,11
"England",9,1,"Poland",4,3,2,11
"Spain",7,1,"Uzbekistan",3,3,3,11
"Chile",3,1,"Netherlands",2,2,4,11
"Italy",8,1,"Mexico",2,3,5,11
"Brazil",12,1,"United States",1,2,6,11
"Japan",2,1,"Egypt",9,2,7,11
"Colombia",11,2,"Senegal",8,2,8,11
"Belgium",10,1,"Korea Republic",5,3,9,11
"Portugal",11,1,"Costa Rica",12,2,10,11
"Uruguay",5,1,"Australia",10,2,11,11
"Ecuador",6,3,"Qatar",7,2,12,11
"Morocco",3,2,"Saudi Arabia",9,3,13,11
"Germany",6,1,"Paraguay",8,3,14,11
"France",6,2,"Argentina",4,1,15,11
"Norway",4,2,"Switzerland",5,2,16,11
"Switzerland",1,1,"Austria",3,3,1,12
"Poland",8,1,"Ghana",12,3,2,12
"Germany",6,1,"Scotland",5,3,3,12
"Netherlands",11,1,"Nigeria",6,3,4,12
"France",4,1,"United States",1,3,5,12
"Belgium",7,1,"Egypt",10,3,6,12
"Australia",3,1,"Colombia",2,3,7,12
"Denmark",5,2,"Wales",12,2,8,12
"Argentina",5,1,"Iran",7,2,9,12
"England",12,1,"Canada",3,2,10,12
"Senegal",4,2,"Croatia",9,1,11,12
"Japan",1,2,"Chile",10,1,12,12
"Mexico",2,1,"Morocco",9,2,13,12
"Spain",6,2,"Italy",10,2,14,12
"Brazil",11,2,"Portugal",9,3,15,12
"Uruguay",8,2,"Korea Republic",2,2,16,12
"England",11,1,"Haiti",4,2,1,13
"France",6,1,"Paraguay",9,3,2,13
"Belgium",8,1,"Ghana",5,3,3,13
"Uruguay",10,1,"Korea Republic",6,2,4,13
"Argentina",4,1,"Morocco",11,2,5,13
"Austria",1,1,"Uzbekistan",9,2,6,13
"Spain",9,1,"Germany",8,2,7,13
"Netherlands",5,2,"Nigeria",1,3,8,13
"Wales",12,1,"Chile",11,3,9,13
"Brazil",5,1,"Iran",3,3,10,13
"Mexico",2,3,"Ecuador",12,3,11,13
"Italy",7,2,"Colombia",6,3,12,13
"Scotland",10,2,"United States",1,2,13,13
"Croatia",2,2,"Cameroon",3,2,14,13
"Algeria",2,1,"Portugal",12,2,15,13
"Denmark",7,1,"Switzerland",3,1,16,13
"Germany",2,1,"Austria",10,2,1,14
"Belgium",10,1,"Brazil",11,3,2,14
"Uruguay",6,1,"Japan",5,3,3,14
"Netherlands",11,1,"Scotland",12,3,4,14
"England",5,1,"Ecuador",2,3,5,14
"France",12,1,"Uzbekistan",3,3,6,14
"Chile",1,1,"Paraguay",9,2,7,14
"Canada",3,1,"United States",1,3,8,14
"Norway",7,1,"Egypt",8,3,9,14
"Italy",8,1,"Poland",5,2,10,14
"Portugal",9,1,"Argentina",7,3,11,14
"Croatia",4,1,"Senegal",7,2,12,14
"Denmark",12,2,"Iran",1,2,13,14
"New Zealand",11,2,"Colombia",8,2,14,14
"Mexico",2,2,"Switzerland",6,2,15,14
"Spain",4,2,"Wales",3,2,16,14
"Portugal",6,1,"Italy",7,2,1,15
"Chile",1,1,"Japan",5,3,2,15
"France",12,1,"Korea Republic",10,3,3,15
"Wales",7,1,"Norway",4,3,4,15
"Colombia",3,1,"Uzbekistan",3,3,5,15
"Netherlands",9,2,"Egypt",11,3,6,15
"Costa Rica",11,1,"Scotland",9,3,7,15
"Uruguay",5,1,"Iran",8,3,8,15
"Germany",8,1,"Denmark",6,2,9,15
"Brazil",4,1,"Ghana",6,3,10,15
"Spain",9,1,"Tunisia",5,2,11,15
"Ecuador",10,2,"Canada",3,2,12,15
"Croatia",4,2,"Switzerland",11,2,13,15
"Poland",12,2,"Argentina",8,2,14,15
"United States",1,2,"Senegal",2,2,15,15
"Belgium",10,1,"Mexico",2,1,16,15
"Austria",9,1,"France",9,3,1,16
"Norway",2,1,"Algeria",10,2,2,16
"Portugal",4,1,"Chile",3,3,3,16
"England",6,1,"Korea Republic",7,3,4,16
"Brazil",12,1,"Colombia",1,3,5,16
"Uruguay",5,1,"Egypt",12,3,6,16
"Switzerland",7,1,"Australia",11,3,7,16
"Belgium",10,1,"Germany",10,3,8,16
"Wales",11,1,"Netherlands",4,2,9,16
"Spain",8,1,"Panama",8,3,10,16
"United States",1,2,"Argentina",7,2,11,16
"Mexico",2,2,"Qatar",3,1,12,16
"Cameroon",5,2,"Morocco",3,2,13,16
"Uzbekistan",1,1,"Italy",11,2,14,16
"Tunisia",6,2,"Croatia",12,2,15,16
"Senegal",8,2,"Paraguay",9,2,16,16
"United States",1,1,"Paraguay",12,3,1,17
"Italy",4,1,"Austria",3,3,2,17
"Germany",12,1,"Iran",6,3,3,17
"Belgium",9,1,"Jamaica",4,3,4,17
"Algeria",2,1,"Qatar",7,3,5,17
"Ecuador",3,1,"Korea Republic",10,2,6,17
"Croatia",11,2,"Spain",5,2,7,17
"Brazil",6,1,"Switzerland",10,3,8,17
"Portugal",7,1,"Poland",8,2,9,17
"Uruguay",8,1,"Denmark",7,2,10,17
"Argentina",11,1,"Senegal",6,2,11,17
"Colombia",4,2,"Wales",5,3,12,17
"France",12,2,"Uzbekistan",1,3,13,17
"Mexico",2,2,"Scotland",1,2,14,17
"Costa Rica",5,1,"Canada",3,2,15,17
"England",10,1,"Haiti",9,2,16,17
"Chile",3,1,"Mexico",2,3,1,18
"Portugal",5,1,"Canada",3,3,2,18
"Ghana",12,1,"England",6,3,3,18
"Netherlands",1,1,"Egypt",11,3,4,18
"France",11,1,"Germany",11,2,5,18
"Spain",9,1,"Scotland",5,3,6,18
"Croatia",6,1,"Tunisia",10,3,7,18
"Japan",10,1,"Italy",8,1,8,18
"Morocco",2,2,"Argentina",12,2,9,18
"Denmark",9,2,"Nigeria",8,2,10,18
"Poland",2,1,"Iran",6,2,11,18
"Wales",7,2,"Korea Republic",1,2,12,18
"Algeria",3,2,"Qatar",8,3,13,18
"Austria",5,2,"Australia",7,3,14,18
"Belgium",7,1,"Brazil",4,1,15,18
"Uruguay",10,2,"Senegal",4,2,16,18
"Spain",11,1,"Chile",6,3,1,19
"Netherlands",5,1,"Nigeria",11,3,2,19
"Brazil",10,1,"Haiti",11,2,3,19
"Switzerland",2,1,"Colombia",7,3,4,19
"Korea Republic",6,1,"Uruguay",5,3,5,19
"Portugal",7,1,"Costa Rica",4,3,6,19
"France",8,1,"Qatar",7,2,7,19
"Argentina",9,1,"Canada",3,2,8,19
"Belgium",4,1,"Austria",3,3,9,19
"Iran",1,1,"Tunisia",1,3,10,19
"Morocco",5,2,"United States",1,2,11,19
"Denmark",8,2,"Italy",6,2,12,19
"Mexico",2,2,"New Zealand",12,3,13,19
"Japan",3,1,"Germany",9,2,14,19
"Poland",4,2,"England",12,2,15,19
"Croatia",10,2,"Senegal",12,1,16,19
"Belgium",5,1,"Nigeria",5,2,1,20
"Argentina",7,1,"Canada",3,3,2,20
"Norway",3,2,"Colombia",1,3,3,20
"Korea Republic",6,1,"Italy",8,3,4,20
"Ecuador",10,1,"Mexico",2,3,5,20
"Netherlands",3,1,"Wales",10,3,6,20
"Denmark",12,1,"Haiti",8,2,7,20
"Chile",8,1,"Algeria",12,3,8,20
"Brazil",11,1,"Jamaica",11,3,9,20
"Saudi Arabia",7,2,"Austria",11,2,10,20
"Iran",1,2,"Uruguay",9,2,11,20
"Morocco",4,3,"Paraguay",2,2,12,20
"England",4,2,"Croatia",2,1,13,20
"France",10,2,"Portugal",12,2,14,20
"Cameroon",1,1,"Australia",9,1,15,20
"Spain",6,2,"Germany",4,1,16,20
"France",5,1,"Chile",9,3,1,21
"Uruguay",4,1,"Switzerland",7,3,2,21
"Brazil",6,1,"Korea Republic",8,3,3,21
"Poland",10,1,"Morocco",10,3,4,21
"South Africa",7,1,"Colombia",5,3,5,21
"Jamaica",9,1,"Egypt",4,3,6,21
"Spain",11,1,"Austria",2,3,7,21
"Netherlands",1,1,"Japan",6,2,8,21
"Mexico",2,1,"Algeria",3,2,9,21
"Portugal",8,1,"Paraguay",7,2,10,21
"Denmark",3,1,"Ghana",1,2,11,21
"England",9,2,"Uzbekistan",3,3,12,21
"Germany",11,2,"Iran",12,2,13,21
"Italy",10,2,"Tunisia",8,2,14,21
"Argentina",12,1,"Australia",2,2,15,21
"Croatia",4,2,"Norway",5,2,16,21
"Germany",7,1,"Chile",2,3,1,22
"Algeria",2,1,"Italy",12,3,2,22
"Netherlands",3,1,"Nigeria",5,3,3,22
"France",10,1,"Morocco",10,2,4,22
"Uruguay",11,1,"Costa Rica",7,3,5,22
"England",8,1,"Tunisia",4,3,6,22
"Poland",9,1,"New Zealand",1,3,7,22
"Senegal",1,1,"Iran",8,2,8,22
"Scotland",4,2,"Jamaica",12,2,9,22
"Spain",5,1,"Colombia",8,3,10,22
"Portugal",4,1,"Denmark",6,3,11,22
"Argentina",6,1,"Saudi Arabia",5,2,12,22
"Croatia",11,2,"Paraguay",3,2,13,22
"Brazil",7,2,"Mexico",2,2,14,22
"Belgium",9,2,"Norway",6,2,15,22
"Australia",1,2,"Ecuador",12,1,16,22
"Belgium",11,1,"Cameroon",11,3,1,23
"Poland",3,1,"Australia",8,3,2,23
"Netherlands",5,1,"Saudi Arabia",4,3,3,23
"England",12,1,"Uruguay",5,2,4,23
"Portugal",4,1,"Korea Republic",9,3,5,23
"Croatia",8,1,"Paraguay",11,2,6,23
"France",9,1,"Japan",7,3,7,23
"Italy",7,1,"South Africa",2,3,8,23
"Nigeria",1,2,"United States",1,3,9,23
"Ecuador",7,2,"Jordan",10,3,10,23
"Switzerland",9,2,"Chile",10,2,11,23
"Germany",12,2,"Brazil",8,2,12,23
"Iran",2,1,"Senegal",6,2,13,23
"Qatar",3,2,"Argentina",6,1,14,23
"Algeria",4,2,"Mexico",2,2,15,23
"Spain",10,1,"Wales",1,1,16,23
"Korea Republic",1,1,"Germany",8,3,1,24
"Switzerland",9,1,"United States",1,2,2,24
"Portugal",4,1,"Colombia",6,3,3,24
"Argentina",11,1,"Poland",12,2,4,24
"Brazil",8,1,"Scotland",9,2,5,24
"Chile",5,1,"Netherlands",7,3,6,24
"Spain",7,1,"England",5,2,7,24
"Belgium",6,1,"Mexico",2,2,8,24
"Egypt",8,2,"Iran",12,3,9,24
"Qatar",10,2,"Saudi Arabia",3,3,10,24
"Canada",3,2,"Norway",2,3,11,24
"Senegal",3,1,"Algeria",10,3,12,24
"Wales",4,2,"France",9,3,13,24
"Australia",7,2,"Japan",11,2,14,24
"Denmark",10,1,"Italy",12,1,15,24
"Austria",2,1,"Cameroon",6,2,16,24
"Netherlands",6,1,"Ecuador",6,2,1,25
